"","GPP_sd1","NPP_sd1","Reco_sd1","NEE_sd1","Rh_sd1","Ra_sd1","Rleaf_sd1","Rstem_sd1","Rroot_sd1","Rh4_sd1","Rh5_sd1","Rh6_sd1","Rh7_sd1","Rh8_sd1","QC1_sd1","QC2_sd1","QC3_sd1","QC4_sd1","QC5_sd1","QC6_sd1","QC7_sd1","QC8_sd1","QCt1_sd1","QCt2_sd1","QCt3_sd1","QCt4_sd1","QCt5_sd1","QCt6_sd1","QCt7_sd1","QCt8_sd1","QCt8_sd1.1","QCt9_sd1","simuCH4_sd1","prod_sd1","oxid_sd1","diff_sd1","ebu_sd1","pla_sd1","conc1_sd1","conc2_sd1","conc3_sd1","conc4_sd1","conc5_sd1","conc6_sd1","conc7_sd1","conc8_sd1","conc9_sd1","conc10_sd1"
"1",0,0,0.00369499661704836,0.00369215384294844,0.00374326061075079,0,0,0,0,0.00102956301409876,5.4772255750541e-05,0.00165921668265473,0.000855569985448203,8.36660026533983e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00416797312851222,0,0.00228407530523842,0.00233302378899145,0.00619862888064772,0.0016468151080191,0.00045276925690687,0.0190480445190576,0.0394035912068939,0.122336973152028,0.0244632786028365,0.00189420167880838,0.000130384048103749,0,0,0
"2",0,0,0.00218471966165025,0.00218471966164977,0.00218471966164983,0,0,0,0,0.000628490254498705,5.47722557505106e-05,0.000964365076099166,0.000526307894677682,7.0710678118647e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00578273291792038,0,0.00141880231181092,0.00163340135912763,0.00652993108692581,0.00105498815159224,0.00224877744563574,0.0310741532467097,0.0326243314107736,0.0869397665053225,0.0246137563163366,0.00255597339579264,0.000258843582110962,0,0,0
"3",0,0,0.00231516738055802,0.0023201293067415,0.00234350165350946,0,0,0,0,0.000704982269280533,5.47722557505106e-05,0.00103537432844364,0.000529150262212923,5.47722557505106e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00787095928079926,0,0.00288444102037119,0.00243372143023806,0.00837096171296942,0.000888819441731555,0.00096591925128346,0.0368198995109981,0.0628567577910283,0.0403563254025935,0.014232954717837,0.00216032404976656,0.000234520787991193,0,0,0
"4",0,0,0.00260345923724551,0.00262049613623046,0.00260345923724551,0,0,0,0,0.000782943165242514,4.47213595500157e-05,0.00113357840487521,0.000580517010948028,5.47722557505106e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0117965249120239,0,0.000917605579756358,0.00281300551012614,0.0075434077180012,0.0019588261791185,0.00283778082310808,0.0142673403267743,0.0356172430151466,0.0280187794166699,0.00876241975712183,0.00148155323900299,0.000216794833886938,0,0,0
"5",0,0,0.00834188228159571,0.00829927707695077,0.00828172687306214,0,0,0,0,0.00253830652207321,0.000167332005306797,0.00357812800218184,0.00182948080066407,0.000167332005306797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0231533366925807,0,0.00649014637739396,0.00482265487050439,0.0291923448869734,0.00448831817054004,0.000864869932417586,0.010163513172127,0.0412539452658772,0.0300443838345872,0.0055652493205607,0.000840832920383016,0.000151657508881146,4.47213595498916e-05,4.47213595498916e-05,0
"6",0,0,0.00820682642682345,0.00818443644975038,0.00819987804787222,0,0,0,0,0.00243864716595174,0.000164316767251532,0.00358092166906765,0.00182948080066428,0.000151657508881014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0207502530105057,0,0.00834793387611569,0.00738193741506927,0.0256469686317896,0.00539749942102818,0.00163187009286892,0.0213248681121361,0.0694900928190487,0.0417533232210322,0.00722654827701321,0.000684105255059888,8.36660026532126e-05,0,0,0
"7",0,0,0.00354288018425327,0.00354570162309229,0.00359207460947253,0,0,0,0,0.00096695398029128,7.0710678118647e-05,0.00164560019445745,0.000823407554009341,8.36660026533983e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0444597795766016,0,0.000991463564635635,0.00882371803719937,0.0471677114136355,0.00337416656376059,0.00201692835767659,0.0102608479181791,0.0296558088744854,0.0100452476325872,0.00371658445350017,0.000577061521850489,7.071067811849e-05,0,0,0
"8",0,0,0.00504846511328468,0.00504846511327959,0.00509823498870116,0,0,0,0,0.00128957357293001,0.000114017542509901,0.00234093998214469,0.00119289563667638,9.9999999999989e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0488745127852952,0,0.00228691932520587,0.015893174635673,0.06443482753915,0.00523574254523654,0.00069065186599328,0.00521708730998441,0.0141644978732037,0.00309160152671722,0.00119916637711346,0.000316227766016944,4.47213595498916e-05,4.47213595498916e-05,0,0
"9",0,0,0.0219833345969185,0.0219655411952443,0.0219655411952471,0,0,0,0,0.00521325234378737,0.000461519230368522,0.0104083139845036,0.00536330122219508,0.000496990945591512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0221356725671483,0,0.0205691030431567,0.00551661127867462,0.0267187200292229,0.00334469729572049,0.00047116875957559,0.00865303414993842,0.0247315587862958,0.00322133512693087,0.000454972526643038,0.000130384048104498,0,0,0,0
"10",0,0,0.015359296858907,0.0153307534061435,0.0153366554372191,0,0,0,0,0.00370607609204102,0.000311448230047963,0.00722820863008327,0.0037493999519923,0.000342052627529764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0257869734556035,0,0.00989419021446423,0.00867726915567335,0.0339187706145137,0.0077263833712805,0.00127788888405839,0.0369731659450472,0.0355390911532639,0.010199754899016,0.00153883072493363,0.000114017542510077,0,0,0,0
