"","GPP_mean1","NPP_mean1","Reco_mean1","NEE_mean1","Rh_mean1","Ra_mean1","Rleaf_mean1","Rstem_mean1","Rroot_mean1","Rh4_mean1","Rh5_mean1","Rh6_mean1","Rh7_mean1","Rh8_mean1","QC1_mean1","QC2_mean1","QC3_mean1","QC4_mean1","QC5_mean1","QC6_mean1","QC7_mean1","QC8_mean1","simuCH4_mean1","prod_mean1","oxid_mean1","diff_mean1","ebu_mean1","pla_mean1","conc1_mean1","conc2_mean1","conc3_mean1","conc4_mean1","conc5_mean1","conc6_mean1","conc7_mean1","conc8_mean1","conc9_mean1","conc10_mean1"
"1",0.462,0,14.29588,13.83383775,14.02491425,0.271,0.2215,0.0071,0.0424,3.8028315,0.2903155,6.28948775,3.3363635,0.3059165,149.4501,85.0757,180.2367,295.5945,265.9538,464.2734,82151.7969,72477.2188,0.3825135,0.82,0.1515455,0.12207375,0.12847125,0.1319635,0.0086095,1.869981,4.03849725,6.0026085,7.18702025,7.732559,7.83831475,7.8992,7.9632,8.0288
"2",4.3426,0.0034,14.04894575,9.7063015,13.9628705,0.0861,0.0692,0.0025,0.0144,3.89575075,0.2878495,6.194298,3.28384825,0.30112375,138.0947,83.2138,172.9795,305.4895,266.8719,464.6192,82146.1719,72477.2188,0.42674575,0.8118,0.1189175,0.16429125,0.12686225,0.13559075,0.009912,1.90434575,4.1093005,5.98625825,7.271302,7.850061,7.948926,8.0037,8.0619,8.1218
"3",11.0207,0,14.2322435,3.211523,14.03356375,0.1987,0.1597,0.0058,0.0332,4.0060545,0.28826925,6.17114075,3.2683745,0.29972675,127.6006,81.4102,166.081,313.9437,267.7425,465.1132,82140.5469,72477.2188,0.45366525,0.7662,0.14896525,0.1057035,0.21082525,0.1371365,0.006341,1.9517125,4.1773395,5.940049,7.28444575,7.912868,8.0182865,8.07468775,8.1325,8.1914
"4",30.8986,1.4049,22.98887925,-7.909698,16.0759875,6.9129,5.7397,0.2782,0.8949,4.71408625,0.33196975,6.99258725,3.69817275,0.33916575,118.5957,79.7559,159.9052,319.571,268.4881,465.9107,82133.5312,72478.5625,0.739087,1.1628,0.046935,0.46341825,0.08696525,0.188703,0.05582675,1.71342425,4.06569475,5.74827825,7.236891,8.01301,8.1361135,8.19872125,8.26,8.3219
"5",70.4178,54.4377,70.062008,-0.35576775,35.8522265,34.2098,27.6069,1.8825,4.7204,10.67787825,0.75538075,15.49945925,8.17004375,0.7494705,152.5085,80.0399,161.5272,311.908,268.2317,467.9053,82113.2578,72486.8516,1.8213255,2.66,0.37988675,0.4955215,0.6335765,0.6922255,0.0229355,1.03373625,3.417084,4.70388825,6.35808425,8.14369975,8.41089,8.54349975,8.6447,8.7235
"6",110.9403,53.0439,111.527184,0.5868735,54.63606225,56.8911,44.9031,3.4157,8.5724,15.78432675,1.1603745,23.96560375,12.57193575,1.153822,172.0247,82.3359,171.0578,295.0024,267.0109,469.9676,82081.0859,72501.8047,2.71516475,4.7003,0.5857025,0.87436875,0.89066175,0.9501335,0.16279075,1.40433375,3.591231,4.6410145,6.183489,8.30862825,8.67872425,8.8662065,9.016,9.1351
"7",152.5251,61.5349,162.1920435,9.66696325,85.0524745,77.1396,59.2004,5.1025,12.8367,23.11053175,1.84317925,38.26424175,19.997855,1.83667425,188.5362,86.6029,188.2198,260.9873,264.1468,470.4323,82029.4531,72516.9062,6.45568475,9.9575,0.6402915,3.13961725,1.71615025,1.59992,0.27696675,2.27810175,4.90248775,5.68001075,6.7293585,9.033364,9.40466325,9.58805025,9.7439025,9.8749
"8",149.134,56.2197,161.74870625,12.61455675,80.53286725,81.2159,64.1177,5.2411,11.8571,19.86871675,1.75790525,37.46904575,19.63256575,1.80462925,201.1943,90.2456,202.5765,236.5785,261.5574,467.2796,81978.7734,72531.3359,7.38586425,9.8511,0.5466765,3.15976125,2.433576,1.79252525,0.0162,1.8027605,4.79147575,5.5603445,6.57503725,9.117311,9.49849325,9.675607,9.832785,9.9712
"9",97.5093,27.1127,122.10487675,24.595597,49.775951,72.3289,60.9318,4.1808,7.2163,11.5566125,1.07798875,23.569624,12.428525,1.14320075,198.8024,91.1734,205.9408,233.7257,260.5967,464.3398,81947.9453,72543.6328,2.91342775,3.6605,0.9506585,0.1810085,1.69172175,1.0406955,0.00989175,0.5664535,3.53294875,4.41904225,5.6879225,8.21770525,8.631283,8.8280015,9.0037775,9.1602005
"10",56.1192,15.9938,88.82434725,32.705124,32.33309925,56.4912,49.0862,2.8242,4.5809,7.52651175,0.69244475,15.27524675,8.094052,0.74484275,191.2546,90.9485,204.6758,240.0605,260.5695,462.5595,81927.4297,72551.0625,1.5513415,2.1457,0.666861,0.188308,0.69648325,0.66655225,0.006021,0.66928275,3.23436925,4.1787675,5.52282875,7.624783,8.01469975,8.20288375,8.3701,8.5175
"11",13.2368,0.0259,46.9372485,33.70046625,17.2551825,29.6821,26.6916,0.8972,2.0932,4.0723715,0.360514,8.1141465,4.3113085,0.39684425,176.733,89.1478,197.2139,253.0087,261.2755,461.7198,81919.0703,72553.7109,0.9258705,1.0483,0.16326125,0.04991375,0.52425025,0.35170625,0.0033375,0.878567,3.70369725,4.9918385,6.15795575,7.334015,7.608999,7.7477,7.8805,8.0069
"12",3.0593,0,29.6706125,26.61130425,15.5941795,14.0764,11.8008,0.3588,1.9168,3.8830425,0.3252505,7.20178325,3.831397,0.3527055,161.1656,87.0584,188.7158,268.4318,262.3019,461.3238,81912.5078,72553.7109,0.4163435,0.8791,0.148122,0.06297325,0.20563825,0.14773225,0.004664,1.76220825,4.17888,5.96528575,6.91631825,7.46085575,7.599834,7.6777,7.7614,7.848
"13",2.2952,0,13.32973575,11.03457725,12.315539,1.0142,0.8303,0.0267,0.1572,3.212065,0.25641425,5.595142,2.97777575,0.2741435,148.9183,85.3437,181.8712,280.4273,263.172,461.2632,81906.0625,72553.7109,0.252199,0.6195,0.10463575,0.042217,0.07893175,0.13105075,0.0036555,1.795457,4.10710525,6.1651315,7.16060125,7.6296105,7.7189475,7.770704,7.8309,7.8966
"14",4.3982,0,12.56209425,8.16388575,12.548553,0.0135,0.011,4e-04,0.0022,3.38705025,0.260487,5.62957775,2.995626,0.2758075,137.6017,83.6154,175.09,291.0371,264.0456,461.402,81900.2969,72553.7109,0.2512065,0.5929,0.086989,0.03938825,0.0802105,0.1316045,0.0041185,1.81041475,4.11743175,6.199572,7.27764075,7.77502825,7.853051,7.8952995,7.9447,7.9991
"15",29.5946,1.4037,18.539409,-11.05518025,13.682081,4.8573,4.008,0.2042,0.6451,3.80057275,0.28350775,6.07170975,3.228983,0.2973155,127.8255,81.9192,168.572,300.0214,264.9474,461.7434,81894.6719,72553.7109,0.431561,0.8506,0.052768,0.2686355,0.02766425,0.1352625,0.03050175,1.856618,4.122031,6.18421275,7.36824125,7.91338175,7.99478475,8.0362,8.085,8.1393
"16",38.1265,44.1322,32.4355365,-5.6910105,15.28553975,17.15,15.1332,0.615,1.4018,4.369478,0.31764,6.70716625,3.563147,0.3281075,159.3566,80.3827,162.8079,308.089,265.7471,462.3418,81888,72554.7188,0.7913805,1.105,0.035755,0.467438,0.155673,0.16827075,0.05202175,1.83163025,4.18603075,6.0726125,7.3567955,8.02082925,8.1201415,8.16860275,8.2214,8.279
"17",89.6543,32.3187,84.512548,-5.141843,36.996303,47.5163,38.8877,2.6068,6.0218,10.868805,0.78571675,16.05509575,8.50345975,0.7832185,164.8745,81.3692,167.1471,302.6552,265.4403,464.2508,81866.3281,72562.8438,2.02137675,2.9778,0.3049905,0.73883225,0.4938945,0.78865125,0.109253,0.95744375,3.287619,4.619874,6.3247625,8.19005625,8.4473565,8.568427,8.6617,8.7365
"18",133.3365,49.0591,127.73750725,-5.59898125,59.007902,68.7296,53.9473,4.4091,10.3732,16.75899125,1.2608265,26.01196925,13.71247025,1.26364075,175.9958,84.4206,179.5801,283.4541,264.0038,466.1706,81831.8516,72577.7578,4.15002975,6.0867,0.47472275,1.85417975,1.19208725,1.1037635,0.13803675,1.57042725,3.73753575,4.728905,6.242021,8.45109825,8.819727,9.000926,9.1462,9.2628
"19",161.7811,63.3713,167.4304075,5.64941925,81.7882355,85.6421,66.5536,5.8225,13.2661,21.74714075,1.77426875,37.01378675,19.4585995,1.7944395,193.1093,88.8249,197.1271,254.236,261.4141,466.0369,81782.3125,72591.8203,5.0187465,8.6442,1.143141,1.8531855,1.67208675,1.49347375,0.12101675,2.019503,4.65431275,5.442912,6.56218975,8.95515025,9.3367085,9.52090075,9.6779,9.811
"20",144.7694,52.724,158.0383625,13.26894,71.9318565,86.1065,69.0547,5.6173,11.4345,17.61041225,1.56371,33.47902625,17.649827,1.628881,203.7351,92.0768,209.7676,237.1937,259.4435,463.3145,81737.9219,72605.8281,4.58583325,7.1247,1.27676375,0.94759225,2.18717625,1.45106875,0.01306125,1.48444025,4.2733205,5.08127525,6.23484725,8.77835275,9.1787435,9.36620025,9.531,9.676
"21",98.2296,30.0347,117.79768975,19.5680945,43.999015,73.7987,61.7714,4.2957,7.7315,10.2920735,0.943424,20.751291,10.996731,1.0155005,202.5219,93.3129,214.2498,237.9245,258.8106,461.0054,81710.9375,72616.9688,2.120815,2.9542,1.281862,0.2819845,0.97358,0.8652495,0.0572855,0.03671375,2.97561025,4.16606525,5.50650225,7.959978,8.3860665,8.59301675,8.7702,8.9204
"22",39.3566,7.9602,75.68734025,36.3307465,25.2939105,50.3934,44.8775,2.2385,3.2774,5.97947325,0.53135725,11.88028925,6.31904275,0.58375125,190.8826,92.3675,210.0319,248.0534,259.122,459.8597,81695.7031,72622.5938,0.63624875,1.3435,1.20617525,0.2244595,0.01484975,0.396941,0.0059395,0.168792,1.600553,3.70674925,5.43295625,7.42403625,7.79869125,7.9814,8.1408,8.2797
"23",8.5364,0,42.55157625,34.0151695,17.828901,24.7227,22.2356,0.6781,1.8091,4.31094125,0.36699925,8.31242475,4.42926825,0.4092705,176.3769,90.4495,202.0049,260.9246,259.9047,459.1911,81685.1875,72627.4844,0.7301605,1.1399,0.18451975,0.0990615,0.36449225,0.2666065,0.007826,0.8198255,2.41736175,4.46554475,6.0403245,7.30676325,7.5965135,7.7427,7.8697,7.9786
