"","GPP_mean1","NPP_mean1","Reco_mean1","NEE_mean1","Rh_mean1","Ra_mean1","Rleaf_mean1","Rstem_mean1","Rroot_mean1","Rh4_mean1","Rh5_mean1","Rh6_mean1","Rh7_mean1","Rh8_mean1","QC1_mean1","QC2_mean1","QC3_mean1","QC4_mean1","QC5_mean1","QC6_mean1","QC7_mean1","QC8_mean1","simuCH4_mean1","prod_mean1","oxid_mean1","diff_mean1","ebu_mean1","pla_mean1","conc1_mean1","conc2_mean1","conc3_mean1","conc4_mean1","conc5_mean1","conc6_mean1","conc7_mean1","conc8_mean1","conc9_mean1","conc10_mean1"
"1",0.3337,0,14.028342,13.6946715,13.80838875,0.22,0.1652,0.0068,0.048,3.666962,0.27949425,6.20352525,3.3510715,0.3073335,143.4662,68.888,173.2539,283.7015,254.8439,455.7938,82129.0547,72473.4141,0.379851,0.8138,0.1498975,0.12635375,0.12134775,0.1321465,0.00901925,1.86354225,4.05516675,6.041164,7.19430825,7.728038,7.83165225,7.8921,7.9559205,8.0215
"2",3.2918,0.0027,13.7592295,10.4674765,13.7170345,0.0422,0.031,0.0015,0.0097,3.749009,0.27657,6.097676,3.2918525,0.30192525,132.5651,67.1029,166.2512,293.1977,255.7218,456.1311,82123.4297,72473.4141,0.43899975,0.8093,0.10987225,0.180249,0.1230595,0.13569075,0.010011,1.89732225,4.12195,6.03380025,7.27962675,7.84656625,7.94370425,7.9981,8.0561,8.1159
"3",8.2374,0,13.8843055,5.64694125,13.82528925,0.059,0.0434,0.002,0.0137,3.866936,0.2778,6.09300225,3.2861305,0.30142275,122.4912,65.3776,159.5826,301.3109,256.5509,456.6155,82117.8047,72473.4141,0.45174075,0.7612,0.1480425,0.10981375,0.2048105,0.13711525,0.0066765,1.94470175,4.18745,5.97346325,7.292586,7.9100435,8.01387975,8.069964,8.1276,8.1864
"4",24.8494,0.943,19.56362475,-5.28582575,15.779569,3.7841,2.9101,0.1775,0.6965,4.53461725,0.3188075,6.880531,3.705682,0.339931,113.6471,63.7672,153.4684,306.7165,257.2507,457.3799,82110.7891,72474.7578,0.7326075,1.1459,0.04577325,0.461481,0.08573475,0.1853935,0.05526175,1.72259175,4.07545425,5.771553,7.244154,8.0081815,8.129884,8.192154,8.2533,8.315
"5",60.5984,50.2522,62.952863,2.35448425,35.155888,27.797,21.5434,1.7668,4.4868,10.26230375,0.72482825,15.23806125,8.18013475,0.750562,144.9837,63.9201,154.4441,299.2496,256.9822,459.3004,82090.3438,72482.9219,1.80421925,2.6346,0.37631975,0.5092785,0.623466,0.67147975,0.0244815,1.0701405,3.48425925,4.78264625,6.39992475,8.13306575,8.39720825,8.52962825,8.630701,8.7094
"6",99.9487,50.5757,102.68244575,2.7337845,53.5862275,49.0962,37.2794,3.4421,8.3747,15.16401275,1.11354575,23.56328575,12.58966975,1.15571225,163.5444,66.1357,163.5729,282.8331,255.7926,461.2736,82057.9297,72497.9219,2.685217,4.6362,0.58455725,0.8805755,0.883559,0.92108425,0.16122225,1.4539375,3.675791,4.73808725,6.2325905,8.28819875,8.65336825,8.8410805,8.9912,9.1105
"7",138.7103,59.8396,150.38287075,11.6725855,83.2782095,67.1047,49.3684,5.1411,12.5953,22.1464145,1.7652245,37.54384225,19.98666175,1.836066,179.8845,70.3186,180.3733,250.1267,253.0434,461.6908,82005.9453,72512.9297,6.35407325,9.7558,0.63332475,3.10571,1.710538,1.53782675,0.2750505,2.36602275,4.9895665,5.7725625,6.76926025,8.98896525,9.35532925,9.5401995,9.6975,9.8293
"8",137.9487,54.7826,149.7435805,11.79485925,78.91512325,70.8285,53.6577,5.3968,11.7739,19.036909,1.68372725,36.76710425,19.623189,1.80419025,192.5115,73.8897,194.4886,226.7104,250.5738,458.639,81954.75,72527.3125,7.236123,9.6383,0.5495965,3.1060735,2.39968475,1.7303625,0.0154245,1.86227475,4.8729905,5.6454135,6.61236225,9.0654385,9.4406445,9.6196,9.7787,9.9185
"9",90.0078,26.5496,111.64471375,21.63699075,48.7303305,62.9144,50.2041,4.5606,8.1496,11.05753325,1.03102925,23.0964635,12.404082,1.14122625,190.5121,74.8206,197.9427,224.0409,249.674,455.8139,81923.7031,72539.4219,2.8081895,3.5616,0.9856235,0.21208575,1.5856695,1.01044075,0.01062875,0.5330985,3.58428575,4.48549575,5.72171325,8.178286,8.58489975,8.78249725,8.9596,9.1172
"10",50.0037,15.7491,81.424989,31.4212565,31.72648775,49.6985,40.7515,3.1776,5.7694,7.218695,0.663769,15.00302225,8.095813,0.74518225,183.4783,74.6245,196.8727,230.1489,249.668,454.0988,81903.0547,72546.7031,1.4975245,2.1032,0.677071,0.18790875,0.66350275,0.64611025,0.0060775,0.68203125,3.28095725,4.23551575,5.55253325,7.600669,7.98399075,8.1721,8.34,8.488
