"","GPP_mean1","NPP_mean1","Reco_mean1","NEE_mean1","Rh_mean1","Ra_mean1","Rleaf_mean1","Rstem_mean1","Rroot_mean1","Rh4_mean1","Rh5_mean1","Rh6_mean1","Rh7_mean1","Rh8_mean1","QC1_mean1","QC2_mean1","QC3_mean1","QC4_mean1","QC5_mean1","QC6_mean1","QC7_mean1","QC8_mean1","simuCH4_mean1","prod_mean1","oxid_mean1","diff_mean1","ebu_mean1","pla_mean1","conc1_mean1","conc2_mean1","conc3_mean1","conc4_mean1","conc5_mean1","conc6_mean1","conc7_mean1","conc8_mean1","conc9_mean1","conc10_mean1"
"1",0.4608,0,14.31565925,13.85481275,14.0442665,0.2714,0.2226,0.006,0.0428,3.80397175,0.28684375,6.29919675,3.34731325,0.30694,148.8578,71.68,180.2411,294.6993,261.9012,463.4355,82145.3438,72476,0.336304,0.8185,0.19783175,0.07628925,0.12851525,0.1314955,0.0058595,1.86831,4.0398415,6.00344,7.18711625,7.731884,7.8374165,7.89829575,7.96223175,8.0278
"2",4.3319,0.0033,14.06098775,9.72910775,13.9751375,0.0858,0.0693,0.0022,0.0144,3.8951215,0.2842795,6.20079175,3.292969,0.3019765,137.5473,69.8297,172.9836,304.5749,262.8194,463.7804,82139.7188,72476,0.38649875,0.8103,0.1583105,0.12495275,0.1264525,0.135094,0.00682125,1.90362275,4.11048475,5.98629,7.27108425,7.8493785,7.94812525,8.0029,8.0611,8.1209
"3",10.9936,0,14.2436185,3.25004475,14.049094,0.1945,0.157,0.0048,0.0327,4.00644375,0.2847715,6.17903325,3.27820475,0.300645,127.0948,68.0444,166.0845,313.0133,263.6846,464.2766,82134.0938,72476,0.410381,0.7648,0.19136775,0.063544,0.21013125,0.13670625,0.00408725,1.952058,4.1806715,5.93511275,7.28338475,7.9121525,8.01753375,8.073895,8.1317,8.1906
"4",30.8205,1.4499,23.21390775,-7.606592,16.0575355,7.1564,5.9883,0.2542,0.9138,4.70404875,0.327209,6.985851,3.7009825,0.339445,118.1505,66.4198,159.9262,318.6346,264.4199,465.0727,82127.0781,72477.3438,0.7220785,1.1606,0.061107,0.44927325,0.085734,0.1870735,0.056097,1.7223165,4.06756775,5.751392,7.238443,8.0121935,8.13526725,8.1978525,8.25910125,8.321
"5",70.2,53.9225,70.137803,-0.0622355,35.88094,34.2568,27.6807,1.8478,4.7283,10.6763925,0.746015,15.51480875,8.192179,0.751546,151.5089,66.7504,161.6179,310.9951,264.168,467.0678,82106.7812,72485.6094,1.71969625,2.655,0.486492,0.40460075,0.6323335,0.68276675,0.01159,1.03220975,3.427312,4.7163585,6.36322075,8.1426545,8.409296,8.5418785,8.6431,8.7219
"6",110.4841,52.7032,111.23186625,0.747722,54.66027325,56.5716,44.6224,3.3928,8.5564,15.775787,1.1455845,23.98085825,12.60144025,1.1566005,170.7933,69.0641,171.1354,294.1,262.972,469.132,82074.5859,72500.5625,2.5786395,4.6912,0.7279185,0.74992075,0.89163825,0.93707875,0.16248175,1.40563175,3.5959385,4.6467445,6.1861775,8.306351,8.675978,8.8634775,9.0133,9.1324
"7",151.9648,61.468,161.8090085,9.8441945,85.09478175,76.7143,58.8352,5.0687,12.8103,23.0967225,1.819864,38.291164,20.04583275,1.84119225,187.3662,73.3316,188.2675,260.1664,260.1699,469.6029,82022.9297,72515.6641,6.23567775,9.9374,0.86943975,2.94053225,1.717308,1.57783975,0.27674375,2.28035825,4.90352075,5.6826075,6.72981975,9.02873925,9.39976975,9.58329775,9.7393,9.8704
"8",148.6814,56.1607,161.36762925,12.68629475,80.57380825,80.7939,63.7522,5.2057,11.8359,19.85406875,1.7358025,37.495502,19.679389,1.80904775,200.0849,76.9594,202.5992,235.8247,257.6533,466.4659,81972.2031,72530.0859,7.1737325,9.8315,0.76200675,2.9770925,2.426337,1.7702975,0.004148,1.8029395,4.7924385,5.5624715,6.57517925,9.11192425,9.4928465,9.67018125,9.8275,9.966
"9",97.2458,27.0896,121.802457,24.55665,49.82028075,71.9822,60.6314,4.1507,7.2,11.5514625,1.06490125,23.59499125,12.46253,1.146398,197.7662,77.8684,205.9541,232.977,256.7441,463.5384,81941.3203,72542.3516,2.76671325,3.6526,1.10767875,0.058774,1.68431225,1.0236295,0.006883,0.56382775,3.5314055,4.42150825,5.68881425,8.213725,8.62699725,8.8238,8.9996,9.1562
"10",55.9706,15.9809,88.62952375,32.6588745,32.3964015,56.2331,48.8618,2.8023,4.5691,7.53138975,0.6849005,15.307788,8.1246175,0.7476995,190.291,77.6248,204.6845,239.2927,256.7559,461.7646,81920.7891,72549.75,1.419721,2.1409,0.80804775,0.0725915,0.6966265,0.650504,0.00314125,0.6662075,3.230276,4.180663,5.52366625,7.62211725,8.011627,8.1998,8.3671,8.5146
