"","GPP_sd1","NPP_sd1","Reco_sd1","NEE_sd1","Rh_sd1","Ra_sd1","Rleaf_sd1","Rstem_sd1","Rroot_sd1","Rh4_sd1","Rh5_sd1","Rh6_sd1","Rh7_sd1","Rh8_sd1","QC1_sd1","QC2_sd1","QC3_sd1","QC4_sd1","QC5_sd1","QC6_sd1","QC7_sd1","QC8_sd1","simuCH4_sd1","prod_sd1","oxid_sd1","diff_sd1","ebu_sd1","pla_sd1","conc1_sd1","conc2_sd1","conc3_sd1","conc4_sd1","conc5_sd1","conc6_sd1","conc7_sd1","conc8_sd1","conc9_sd1","conc10_sd1"
"1",0,0,0.00404461515064065,0.00404661589330762,0.00404521782084047,0,0,0,0,0.00109817663301184,8.56111012172357e-05,0.00181392951578075,0.000967957536248353,9.01127113779076e-05,0,0,0,0,0,0,0,0,0.00788932427993583,0,0.00297408471419663,0.00144396052317271,0.00836033674643459,0.00183184849873175,0.00045012919337321,0.0289732068779412,0.0695464816545475,0.0783778915556663,0.0167192806904039,0.00150090832982442,0.000130269625924901,2.0197955180706e-05,4.66086732383846e-05,0
"2",0,0,0.00362531131668122,0.00362537906582571,0.0036265097106866,0,0,0,0,0.00101210109255641,7.99733664939117e-05,0.00160980919727433,0.000855756857698916,8.25517229827309e-05,0,0,0,0,0,0,0,0,0.00966117327814152,0,0.00299855265838584,0.00151250176577705,0.0100686637008992,0.00153484637128888,0.000997502363361752,0.0316290459674256,0.0607077550337731,0.112433770201414,0.0227390101674631,0.00196188946571645,0.000178794171856133,0,0,0
"3",0,0,0.00431122074484446,0.00430683113478564,0.00430943640227617,0,0,0,0,0.00122983420342738,9.22443632770549e-05,0.00189439734235637,0.00100422787332053,9.66869739278292e-05,0,0,0,0,0,0,0,0,0.0108411237383296,0,0.00354288937172058,0.00139012413574542,0.011301897214145,0.00161728939896359,0.000522585089185098,0.0355961888078501,0.0647943083436681,0.100547152057653,0.0249152084371407,0.00248201424992729,0.000229275720235742,3.35830247128951e-05,0,0
"4",0,0,0.0027103653144631,0.00271392695162319,0.0027104993574833,0,0,0,0,0.000789688201849519,6.22791838566787e-05,0.00117912035519283,0.00062871452574853,6.43065964413214e-05,0,0,0,0,0,0,0,0,0.00759321275547279,0,0.00158691422006819,0.00261604063596546,0.00766704656354184,0.00195660894058213,0.0029013592873489,0.0216662096211675,0.0542008728849566,0.0731313281973586,0.0208346022911785,0.00249061551913588,0.000261674648282833,5.19663473136245e-05,1.11241569193959e-05,0
"5",0,0,0.0107383668360584,0.0107397857168152,0.0107419235849899,0,0,0,0,0.00319574337036358,0.000227936147238735,0.00464449424096811,0.00245113834737966,0.000226743315950723,0,0,0,0,0,0,0,0,0.0221982277270745,0,0.00821368355208151,0.00420593022530693,0.0250483738060141,0.00602991867570276,0.000947017478858314,0.0243781657914596,0.0551673812672826,0.0337308769215201,0.00958154787007122,0.00180220687604393,0.000243582287588916,4.35026574245608e-05,0,0
"6",0,0,0.0116285378775847,0.0116263513672729,0.0116245013664047,0,0,0,0,0.00336803952256561,0.000244251708782351,0.0050944642360243,0.00267854277845994,0.000247290581258058,0,0,0,0,0,0,0,0,0.024723384762919,0,0.00905522780644233,0.00425957796602217,0.0266155722021266,0.00649180500848342,0.00141506110551129,0.0233574976974035,0.0450572425422793,0.0266273093601174,0.00554384607680518,0.000982987620295501,0.000170847804876099,4.35717367176551e-05,0,0
"7",0,0,0.0080076359391107,0.00800151111981365,0.00799851439448625,0,0,0,0,0.00217284303785792,0.000173433554985729,0.00359916503823191,0.00188441768526281,0.000175619026892047,0,0,0,0,0,0,0,0,0.0397163290968566,0,0.00532553266659378,0.00852586128870777,0.042095748194326,0.00502181655791541,0.0013115301047017,0.0114864039466913,0.0168392025135019,0.00929067464387522,0.0029719549505452,0.000529324947219933,0.000126886516108045,1.64503506067943e-05,0,0
"8",0,0,0.00688031002955109,0.00687583742450482,0.00687399712895058,0,0,0,0,0.00166994617820313,0.000149497906541013,0.00321418316739774,0.00168788369813991,0.000157502237721289,0,0,0,0,0,0,0,0,0.0378838581789964,0,0.00399306158097689,0.010881537731797,0.0414812471565666,0.00460819187218014,0.000341155342063621,0.0113635983812535,0.00601605768965969,0.00195437629866717,0.000726577059270118,0.000249283559893163,6.24299105744531e-05,3.90801182072243e-05,0,0
"9",0,0,0.0197577940840484,0.0197598235459332,0.0197619049348522,0,0,0,0,0.00455935445349243,0.000419957555439726,0.00937279690070433,0.00495286049345927,0.000454105195766444,0,0,0,0,0,0,0,0,0.0350022176087649,0,0.0175551240208084,0.00536041594914701,0.0354567670658848,0.00450277884125271,0.000477263502823985,0.0153090405232286,0.0156822735599793,0.00816953549554885,0.000870065786986377,0.00010887899977303,4.26848038677706e-05,0,0,0
"10",0,0,0.0192632940376369,0.0192656159945413,0.0192680406691512,0,0,0,0,0.00448343315659708,0.00040757212563421,0.00910175592412011,0.00483040638192445,0.000446428040099937,0,0,0,0,0,0,0,0,0.0226027879709595,0,0.0162394625927323,0.0052700199739959,0.0226452791862578,0.00546024906020767,0.000877067017898126,0.0301658954262453,0.0323601827493128,0.017701196623527,0.00276471428001619,0.000169408339415947,4.44515449631939e-05,0,0,0
"11",0,0,0.00867372947222776,0.00867579018163129,0.00867605177693682,0,0,0,0,0.00203765775409095,0.000179768718023881,0.00408333295483606,0.0021737718855773,0.000202084376531427,0,0,0,0,0,0,0,0,0.0168615168914217,0,0.00699261119169338,0.000881325009250177,0.0179127019521922,0.00399397471481185,0.000116998543357897,0.0212700667909324,0.0662454992271712,0.0288981007258939,0.00535766097076832,0.000371583349282094,4.30392954446552e-05,0,0,0
"12",0,0,0.00534768867693915,0.00534723730579751,0.00534590539677592,0,0,0,0,0.00133247315611966,0.000113489866837023,0.00246689149215873,0.00131424561682867,0.000123334772734263,0,0,0,0,0,0,0,0,0.0103223103629018,0,0.00431289956922667,0.000903167601717411,0.0107497141974015,0.00205696065965989,0.000166566385871387,0.0445448505331711,0.167691245928051,0.0464143473511973,0.00888792088139768,0.000691269898579209,5.50028479553395e-05,0,0,0
"13",0,0,0.00491803491432771,0.004917980609018,0.00491839672208228,0,0,0,0,0.00127891594817887,0.000105493232271741,0.00223706664360269,0.00118963190111496,0.000115300359636599,0,0,0,0,0,0,0,0,0.00652689195148548,0,0.00318116149718589,0.00061102978117577,0.006401648318244,0.00235631583425842,0.000247792762470642,0.0347926782828332,0.0891990379484404,0.0500114871516314,0.0115119425403635,0.00102046527301695,8.56462240219991e-05,7.06220126565078e-06,0,0
"14",0,0,0.00386648859887278,0.00386614737027985,0.00386788667988364,0,0,0,0,0.00104683602544067,8.34226338567551e-05,0.00173367328457357,0.000925009787931696,9.06669108429487e-05,0,0,0,0,0,0,0,0,0.00676450175252396,0,0.00290404609282862,0.000648914217484973,0.006923296746826,0.00159188715028677,4.66308491261478e-05,0.0277590886965541,0.0540942014853334,0.0509990633335776,0.0118085963229249,0.0012011185263269,0.00011968813903883,1.56320472828897e-05,1.63739967455203e-05,0
