"","GPP_mean1","NPP_mean1","Reco_mean1","NEE_mean1","Rh_mean1","Ra_mean1","Rleaf_mean1","Rstem_mean1","Rroot_mean1","Rh4_mean1","Rh5_mean1","Rh6_mean1","Rh7_mean1","Rh8_mean1","QC1_mean1","QC2_mean1","QC3_mean1","QC4_mean1","QC5_mean1","QC6_mean1","QC7_mean1","QC8_mean1","QCt1_mean1","QCt2_mean1","QCt3_mean1","QCt4_mean1","QCt5_mean1","QCt6_mean1","QCt7_mean1","QCt8_mean1","simuCH4_mean1","prod_mean1","oxid_mean1","diff_mean1","ebu_mean1","pla_mean1","conc1_mean1","conc2_mean1","conc3_mean1","conc4_mean1","conc5_mean1","conc6_mean1","conc7_mean1","conc8_mean1","conc9_mean1","conc10_mean1"
"12",3.1234,0,31.186313,28.06288925,17.0617285,14.1246,11.5525,0.6438,1.9283,4.2827475,0.3511385,7.87719925,4.16669175,0.383949,166.7361,165.9226,187.2689,272.1335,260.2877,463.7009,81865.7891,72584.0781,16.1054,2.2535,9.2438,9.9239,0.8137,13.6902,14.483,0.7279,0.53000575,1.0779,0.1912195,0.14733525,0.225538,0.15713625,0.008647,1.8653735,4.29792875,6.010618,6.949332,7.511135,7.6547255,7.7338,7.8184,7.9056
"13",2.3443,0,14.62844,12.2840925,13.54980725,1.0786,0.8689,0.0515,0.1582,3.56287375,0.278413,6.152621,3.2558605,0.3000435,154.0655,164.0482,179.8227,284.3405,261.2403,463.6404,81860.1641,72584.0781,12.6707,1.8743,7.4463,8.1959,0.6405,10.6152,11.2348,0.5647,0.3409065,0.7429,0.1292825,0.08870725,0.11535,0.13685075,0.00580775,1.912568,4.2489525,6.24153425,7.20548,7.67848975,7.77048275,7.8232,7.8836,7.9489
"14",4.4953,0,13.73842575,9.2431745,13.725349,0.0131,0.0105,7e-04,0.002,3.73465675,0.2812445,6.15359025,3.2558035,0.30005825,142.3577,162.1554,172.5227,295.0618,262.2037,463.7966,81854.5391,72584.0781,11.7078,1.8926,7.3,8.5717,0.6455,10.5929,11.2092,0.5635,0.30787,0.6802,0.091775,0.073419,0.0968555,0.1375975,0.00685175,1.9205215,4.2551995,6.29182375,7.3264355,7.82181125,7.900728,7.94369425,7.994,8.0493
"15",30.2357,1.3913,18.716964,-11.5187095,13.88088275,4.8361,3.8721,0.3131,0.651,3.88574275,0.28398375,6.1560565,3.25509625,0.3000125,132.2144,160.4115,166.0234,304.162,263.1431,464.1479,81848.9141,72584.0781,10.8392,1.883,7.0557,9.08,0.6635,10.7877,11.4082,0.5735,0.52753775,0.8897,0.0352225,0.321324,0.06593225,0.140282,0.031863,1.930834,4.24335025,6.27386725,7.400587,7.939492,8.02127825,8.0634,8.1127,8.1674
"16",39.0854,47.916,31.41343,-7.6719515,15.37443225,16.039,13.6283,0.9248,1.4859,4.42957,0.31544375,6.74079875,3.560443,0.32818,167.229,158.7995,160.2301,312.4664,263.9827,464.7575,81842.2422,72585.0859,11.6551,1.8617,6.7898,10.4261,0.7425,11.8988,12.5697,0.632,0.83649025,1.1172,0.03172675,0.48284475,0.17732925,0.1763135,0.05311175,1.84012275,4.27239175,6.16506025,7.3784745,8.034541,8.1331945,8.1819,8.234963,8.2927
"17",92.2069,34.0886,86.00889775,-6.19805025,37.3854425,48.6234,39.0045,3.1699,6.4491,11.073643,0.783889,16.20700525,8.53409475,0.786813,173.2364,159.8542,165.1311,307.1253,263.7232,466.7221,81820.4766,72593.3203,13.5602,1.848,6.716,25.902,1.8337,28.4363,29.9469,1.506,2.154196,3.0939,0.28594725,0.824184,0.49183725,0.83817475,0.10832175,0.899493,3.197773,4.52500175,6.2624285,8.2026685,8.46357625,8.584812,8.6781,8.7531
"18",136.9343,50.2877,129.114643,-7.81971475,59.01553,70.0991,54.6504,4.7383,10.7104,16.9074915,1.244865,25.98803525,13.618883,1.25624925,184.3112,163.0029,178.1268,287.9065,262.3223,468.7072,81786.1172,72608.2266,14.0688,1.8799,7.1193,40.6933,2.9965,46.9196,49.1755,2.4742,4.54521125,6.3535,0.2882775,2.198556,1.19159575,1.1550605,0.18987025,1.53177025,3.65900275,4.64647,6.198201,8.4624665,8.83672425,9.0182015,9.1634,9.28
"19",165.523,63.5351,169.730612,4.20756,81.94602475,87.7846,68.4446,5.9829,13.3571,21.99410375,1.7549855,37.049951,19.35990175,1.78708225,200.8728,167.4342,195.7752,258.3016,259.7385,468.6371,81736.5234,72622.3906,15.206,1.9228,7.7654,52.8623,4.2178,66.7811,69.791,3.514,5.67337975,9.1511,0.91065575,2.42090525,1.6907865,1.561688,0.21684025,2.01010975,4.631551,5.4182925,6.55650875,8.980916,9.3658895,9.549704,9.7062,9.8389
"20",147.5196,52.9689,160.96203725,13.44245875,72.2230795,88.739,71.3551,5.8299,11.554,17.8541435,1.55014725,33.5919415,17.60088675,1.625961,211.0258,170.7608,208.5327,241.0023,257.7382,465.917,81692.0625,72636.3047,16.3314,1.9706,8.4297,42.3563,3.677,59.7573,62.6202,3.1553,5.06970625,7.5335,1.15798825,1.3462795,2.2156435,1.507785,0.0202985,1.4926215,4.26281575,5.06893325,6.2352265,8.80778925,9.210847,9.3978005,9.5619,9.7063
"21",99.9125,30.1683,121.46704625,21.5545445,45.43259575,76.0344,63.7381,4.4764,7.8199,10.7239475,0.962044,21.42095225,11.2827095,1.0429405,209.322,172.0127,212.8093,241.2542,257.0319,463.4977,81664.2109,72648.0703,16.7879,1.7649,7.7906,24.591,2.2061,36.8301,38.7971,1.9562,2.63423875,3.2893,0.87057125,0.1464455,1.5082035,0.9795875,0.088841,0.164014,3.2923405,4.201751,5.53593275,8.02067375,8.44824475,8.6535,8.8287,8.9772
"22",40.0249,7.9783,77.65426475,37.6293245,25.71934625,51.9349,45.8824,2.5635,3.489,6.13100125,0.53362425,12.07788725,6.386279,0.59056,197.1743,171.0759,208.3748,251.4283,257.3013,462.2972,81648.0391,72653.6953,16.1369,1.7347,7.6257,13.8496,1.2052,20.4585,21.6354,1.0913,1.0722195,1.5501,0.59303825,0.13868,0.39769975,0.5358375,0.00497,0.54918675,2.98024775,4.02245375,5.479542,7.47984475,7.85591025,8.0379,8.1963,8.3339
"23",8.696,0,43.9273765,35.231354,18.787775,25.1396,21.8543,1.1409,2.1444,4.57641125,0.38194175,8.7596885,4.6405075,0.429222,182.1905,169.1279,200.0244,264.4376,258.0736,461.5802,81637.0938,72658.8516,14.9837,1.9479,8.3503,10.6204,0.8863,15.2439,16.1511,0.8149,1.0481785,1.365,0.1531155,0.2356755,0.430625,0.381875,0.01094675,0.94125725,3.22777225,4.7003775,6.08209825,7.35462775,7.64473575,7.7890145,7.9144,8.0232
"24",0.9702,0,26.737264,25.7670655,17.21765275,9.5196,7.7968,0.4363,1.2865,4.42211475,0.3504775,7.8800965,4.178431,0.386535,166.1425,166.8468,190.5552,280.0246,259.1986,461.3365,81630.5312,72658.8516,16.0481,2.2811,9.4693,10.2636,0.8135,13.7176,14.5475,0.7341,0.55205025,1.1043,0.18720825,0.161715,0.2387865,0.15154525,0.00936825,1.67517525,3.614648,5.63862375,6.85909975,7.5026405,7.6637235,7.7508,7.8346,7.9147
"25",1.3175,0,14.36668625,13.049145,13.86708225,0.4996,0.4009,0.0237,0.075,3.73140025,0.28244125,6.23885325,3.3083155,0.306071,153.5169,164.916,182.7974,292.0222,260.1851,461.437,81624.9062,72658.8516,12.6256,1.9304,7.7578,8.6714,0.6564,10.8739,11.5323,0.582,0.4233905,0.8531,0.091136,0.2032705,0.09260675,0.1275145,0.01054825,1.78905275,3.85524775,5.8806915,7.13215675,7.69069625,7.7973755,7.85549875,7.9162,7.9785
"26",2.9259,0,13.805583,10.87967525,13.79589525,0.0097,0.0077,5e-04,0.0015,3.835488,0.28035975,6.1303695,3.249068,0.3006085,141.8508,163.0231,175.4124,302.545,261.1492,461.7517,81619.2812,72658.8516,11.6661,1.8933,7.385,8.8147,0.6443,10.5667,11.2006,0.5653,0.379325,0.7128,0.10981175,0.08529925,0.16275,0.1312715,0.00590625,1.858709,4.01577275,5.89553425,7.23092825,7.82031425,7.91305625,7.9601,8.0111,8.0649
"27",8.6512,0.0012,13.93539725,5.284178,13.7212685,0.2141,0.1676,0.0119,0.0346,3.91292075,0.27789,6.0376755,3.1969765,0.29580725,131.0719,161.1869,168.4571,311.5723,262.0717,462.2245,81613.6562,72658.8516,10.7796,1.8365,6.9558,8.9844,0.6381,10.3972,11.0107,0.5557,0.36749525,0.7142,0.1249625,0.08452025,0.1497265,0.1332465,0.01094925,1.88804575,4.06325825,5.830693,7.25827275,7.9002925,7.99903475,8.0467965,8.0965,8.1479
"28",21.0823,0.3804,15.30504075,-5.77726375,13.99156,1.3135,1.0379,0.0901,0.1855,4.0712975,0.2825545,6.10843075,3.230355,0.29891725,121.3006,159.3549,161.7307,319.1621,263.0004,462.8524,81608.0312,72658.8516,9.9615,1.8706,6.8788,9.5364,0.6618,10.7306,11.3494,0.5728,0.552118,0.9276,0.0363805,0.35353,0.0632255,0.13536625,0.031389,1.8877815,4.01742625,5.7427615,7.29327625,7.98599825,8.09492975,8.14672425,8.1988,8.2519
"29",61.2162,42.2812,46.6436965,-14.57246525,21.317254,25.3264,19.319,1.9311,4.0764,6.46023125,0.44167625,9.14391625,4.8249035,0.44651775,145.4245,159.1528,161.6584,320.9499,263.5522,464.25,81597.2188,72662.1406,9.9015,1.8532,6.6759,15.0742,1.0306,16.0042,16.8897,0.8526,1.2274595,1.5622,0.14244075,0.504122,0.371899,0.35144075,0.07465725,1.132294,3.79771425,5.356114,6.95569075,8.1100485,8.25062875,8.313603,8.380035,8.4532
"30",114.1575,68.8456,101.5131005,-12.644419,48.0107905,53.5023,40.5095,3.8127,9.1802,14.45193675,1.007005,20.6862535,10.86018975,1.00540375,179.5283,161.6029,172.049,306.8962,262.7436,467.1647,81569.2891,72673.4219,13.1674,1.8647,6.868,34.3745,2.3956,36.9041,38.7481,1.9566,3.09700975,4.6342,0.2961945,1.4940785,0.64378475,0.95914925,0.1938405,1.41038675,3.34736175,4.47872525,6.24178225,8.3658755,8.6728945,8.8149755,8.9304,9.0278
"31",147.232,56.5439,147.52647875,0.29452025,74.39817425,73.1283,56.2816,4.9749,11.8719,21.07200725,1.57294275,32.9622555,17.1978715,1.593103,192.983,165.3491,187.1494,278.4272,260.5512,469.0604,81524.8438,72686.9688,14.8173,1.9084,7.5172,51.0889,3.8146,59.9544,62.5607,3.161,6.066012,8.6425,0.36573275,3.0617055,1.515293,1.489011,0.0820735,1.6338955,4.27711225,5.137941,6.432618,8.80470725,9.187035,9.37320825,9.527,9.6528
"32",144.5229,51.5489,146.5255055,2.00273425,62.865177,83.6604,66.9387,5.4859,11.2357,16.6778045,1.333274,28.58079275,14.8927605,1.38054675,203.2156,168.6003,199.9281,263.1163,259.0544,468.5529,81487.8594,72702.1875,15.5418,1.903,7.841,38.9783,3.1159,50.0945,52.206,2.6397,3.3395215,5.4898,1.0570245,0.4973815,1.6568595,1.18527875,0.01436025,1.62379075,4.025929,4.87769425,6.17184575,8.59441825,9.00187725,9.1986945,9.3683,9.5154
"33",102.4492,44.6067,130.362248,27.91299775,58.460143,71.9021,57.725,4.4747,9.7024,14.70737275,1.23342125,27.073987,14.13429375,1.311065,209.137,171.0908,209.2702,253.6916,257.8271,466.6934,81452.1641,72716.0938,16.382,1.97,8.5005,34.601,2.9014,47.7543,49.8607,2.5227,3.703391,5.5605,0.915796,0.807518,1.665437,1.23043675,0.01399425,0.997263,3.693891,4.5545335,5.870217,8.323355,8.74098925,8.9449,9.1194995,9.2678
"34",41.8181,11.6891,77.670851,35.852716,34.30990175,43.361,37.465,2.2615,3.6344,8.4036025,0.70893525,16.02437875,8.39397325,0.77900575,198.7489,170.2638,205.2591,259.0341,257.8419,465.2298,81430.7109,72724.8203,16.2328,1.9949,8.6867,19.8768,1.6768,28.426,29.7806,1.5075,2.863608,3.3126,0.2014045,0.91448425,1.046101,0.90302125,0.03044975,0.6928995,3.1451795,4.1425185,5.615724,7.7642,8.1645,8.36139975,8.531,8.675
"35",6.5236,0,37.28614975,30.76258225,18.05333625,19.2328,16.82,0.866,1.5468,4.485641,0.36441625,8.39003675,4.40437675,0.40886875,183.6455,168.2864,196.8708,272.425,258.679,464.6017,81420.7578,72729.1484,15.1034,1.9776,8.3883,10.398,0.8447,14.5861,15.3141,0.7754,1.1134605,1.3079,0.19584,0.21327625,0.56636525,0.33381225,0.0094455,1.17917775,3.48653,4.9369975,6.27286125,7.4644455,7.75301075,7.8995,8.0309,8.1471
"36",0.6091,0,21.38321425,20.77415725,16.25263975,5.1306,4.1681,0.2303,0.7322,4.25087925,0.327769,7.41610925,3.89614975,0.361732,167.4693,166.016,187.5504,288.4333,259.8517,464.422,81414.1953,72729.1484,16.1762,2.2698,9.3204,9.8221,0.7574,12.8526,13.5045,0.6839,0.47474425,0.9134,0.12893625,0.110552,0.22688475,0.1373125,0.00381625,1.755001,3.8159755,5.7666925,6.96151425,7.57549875,7.73214175,7.8185,7.8999,7.9755
"37",0.5864,0,13.390703,12.804307,13.21025025,0.1804,0.1453,0.0085,0.0266,3.6092955,0.2657985,5.930374,3.115502,0.28927825,154.743,164.1167,179.9991,300.7176,260.8561,464.5465,81408.1641,72729.1484,12.7264,1.8993,7.5514,8.2767,0.6095,10.1995,10.7165,0.5428,0.281411,0.6082,0.0588765,0.04639975,0.10736025,0.12765375,0.00413375,1.7811105,3.93085875,5.90448725,7.17180825,7.731053,7.8423955,7.90349975,7.9616,8.0165
"38",1.5201,0,13.3368125,11.81675275,13.327461,0.0093,0.0075,5e-04,0.0014,3.76575775,0.2679915,5.90529075,3.100518,0.2879065,142.9837,162.2411,172.7604,311.4019,261.8382,464.8846,81402.5391,72729.1484,11.7593,1.8753,7.2386,8.5992,0.612,10.1137,10.6202,0.5379,0.26326125,0.5479,0.0553455,0.04003975,0.0983075,0.12491625,0.00342925,1.58334875,3.935371,5.82672675,7.259596,7.85893475,7.9579225,8.008601,8.0581,8.1065
"39",9.5086,0.0014,14.16622225,4.6576165,13.94793425,0.2183,0.172,0.0118,0.0345,4.050546,0.28036525,6.11297525,3.206301,0.2977525,132.1187,160.3626,165.7226,320.3141,262.7932,465.4211,81396.9141,72729.1484,10.8657,1.8785,7.0382,9.2771,0.6421,10.5004,11.015,0.5579,0.35787225,0.6263,0.07698375,0.06381,0.1720175,0.1220495,0.00798525,1.70958025,3.9435705,5.76042825,7.28363625,7.94743425,8.04935475,8.0981095,8.1471,8.1969
"40",26.8798,0.0997,17.85703375,-9.0227525,14.31608025,3.541,2.8142,0.2101,0.5167,4.24939225,0.2878355,6.219004,3.25733425,0.30251,122.1268,158.5119,158.9956,327.519,263.7048,466.1348,81391.2891,72729.1484,10.0417,1.8608,6.7666,9.8885,0.6698,10.8526,11.3685,0.5759,0.48909325,0.8519,0.0480125,0.2650255,0.0941515,0.129917,0.03546875,1.82168175,3.93976375,5.70851425,7.3194765,8.02233025,8.13016575,8.18044,8.2336,8.29
