"","GPP_mean1","NPP_mean1","Reco_mean1","NEE_mean1","Rh_mean1","Ra_mean1","Rleaf_mean1","Rstem_mean1","Rroot_mean1","Rh4_mean1","Rh5_mean1","Rh6_mean1","Rh7_mean1","Rh8_mean1","QC1_mean1","QC2_mean1","QC3_mean1","QC4_mean1","QC5_mean1","QC6_mean1","QC7_mean1","QC8_mean1","QCt1_mean1","QCt2_mean1","QCt3_mean1","QCt4_mean1","QCt5_mean1","QCt6_mean1","QCt7_mean1","QCt8_mean1","QCt9_mean1","QCt10_mean1","simuCH4_mean1","prod_mean1","oxid_mean1","diff_mean1","ebu_mean1","pla_mean1","conc1_mean1","conc2_mean1","conc3_mean1","conc4_mean1","conc5_mean1","conc6_mean1","conc7_mean1","conc8_mean1","conc9_mean1","conc10_mean1"
"1",0.4727,0,14.41906,13.94636,14.14826,0.2708,0.2178,0.0128,0.0402,3.87044,0.28852,6.33944,3.34306,0.3068,154.776,164.2445,179.9394,300.1427,263.655,466.7827,82108.6719,72504.6484,12.7291,1.9125,7.5959,8.932,0.6659,10.9726,11.5727,0.5793,0.1831,5.0957,0.38822,0.8306,0.1541,0.12778,0.12866,0.13178,0.00896,1.88678,4.01936,5.93208,7.17304,7.7346,7.84316,7.90454,7.9686,8.0343
"2",4.4378,0.0033,14.15636,9.71858,14.0735,0.0828,0.0654,0.0043,0.0131,3.96208,0.28578,6.237,3.28696,0.30168,143.0157,162.3609,172.6776,310.2885,264.596,467.142,82103.0469,72504.6484,11.7618,1.8838,7.263,9.164,0.661,10.819,11.4034,0.5709,0.1818,5.222,0.45188,0.8261,0.11608,0.17954,0.13648,0.13586,0.00928,1.91382,4.07388,5.85158,7.24842,7.85224,7.9536,8.0088,8.067,8.1269
"3",11.2603,0,14.4372,3.1769,14.24032,0.1969,0.1551,0.0107,0.031,4.10238,0.28814,6.25464,3.29292,0.30224,132.1477,160.5043,165.7308,318.9479,265.5104,467.6589,82097.4219,72504.6484,10.8681,1.8559,6.9467,9.4367,0.6628,10.7908,11.3621,0.5689,0.1823,5.3725,0.45828,0.7869,0.14992,0.1136,0.2082,0.13648,0.0069,1.9483,4.13386,5.84524,7.26206,7.91662,8.025,8.08174,8.1397,8.1987
"4",31.5927,1.1591,21.89456,-9.69814,16.24452,5.65,4.5109,0.3702,0.769,4.807,0.33044,7.05676,3.70976,0.34054,122.6755,158.7632,159.4419,324.7341,266.3126,468.4831,82090.4062,72505.9922,10.0516,1.8576,6.752,11.3018,0.7769,12.4417,13.0813,0.655,0.2136,6.4296,0.7577,1.1825,0.04594,0.47424,0.08734,0.19612,0.05556,1.64958,4.0433,5.693,7.21094,8.01682,8.14256,8.20552,8.2669,8.3288
"5",72.0956,57.708,70.69356,-1.40214,36.34876,34.3448,26.8665,2.4954,4.9829,10.9245,0.75452,15.69306,8.22178,0.7549,159.414,158.9814,161.0731,316.8997,266.1229,470.5529,82070,72514.4062,10.6866,1.838,6.5937,25.3968,1.754,27.3602,28.6688,1.4358,0.4824,14.4506,1.952,2.7983,0.37704,0.57662,0.62964,0.74574,0.03384,0.94092,3.24272,4.48224,6.23656,8.1518,8.4269,8.55992,8.66114,8.7401
"6",113.8627,55.8771,113.95852,0.09576,55.7068,58.2517,45.0201,3.9606,9.271,16.23616,1.166,24.41044,12.72526,1.16898,180.2571,161.3779,171.2068,299.5745,264.9478,472.7074,82037.2109,72529.8438,13.8133,1.8471,6.8419,38.2608,2.7484,43.1556,44.9934,2.2545,0.7558,21.7992,2.93522,4.9949,0.61382,1.02538,0.90738,1.00242,0.16188,1.32026,3.46452,4.45476,6.09138,8.32972,8.71034,8.89804,9.04744,9.1664
"7",156.2705,62.7699,164.1162,7.84562,85.59536,78.5208,59.7818,5.3707,13.3683,23.46792,1.82854,38.47986,19.9821,1.83692,196.7341,165.7486,188.8203,265.1728,262.1184,473.2227,81985.5391,72545.0234,14.9079,1.906,7.4947,57.0894,4.4487,70.2127,72.9213,3.6565,1.2234,32.6226,6.7929,10.2929,0.52894,3.43406,1.70668,1.65216,0.2766,2.20474,4.82184,5.59326,6.69062,9.05918,9.43846,9.62178,9.7771,9.9076
"8",152.203,56.3627,163.92366,11.72068,80.9491,82.9746,65.6639,5.3807,11.93,20.16738,1.74196,37.64122,19.5956,1.8029,208.838,169.4317,203.1909,240.5473,259.532,470.0674,81934.8359,72559.4688,16.0775,1.9535,8.1745,49.1715,4.2458,68.8002,71.6312,3.5948,1.1676,28.2119,7.67464,10.1135,0.44778,3.41432,2.42986,1.83044,0.0245,1.78966,4.76294,5.53004,6.56486,9.14406,9.53022,9.7071,9.8635,10.0013
"9",99.2849,27.2149,126.11328,26.82844,51.70502,74.4082,62.7731,4.3455,7.2898,12.11818,1.10426,24.47684,12.825,1.18076,205.9139,170.3479,206.2692,237.1187,258.5123,466.9802,81903.5703,72572.1875,16.5315,1.8056,7.8077,28.0387,2.5549,42.468,44.5029,2.2349,0.7026,16.1239,3.27788,4.0701,0.77502,0.09972,2.00598,1.17218,0.00598,0.84716,3.62536,4.43778,5.71482,8.28292,8.69884,8.89364,9.067,9.2207
"10",57.1184,16.0787,92.05572,34.93728,34.00352,58.0522,50.1903,3.0933,4.7685,7.97988,0.71826,16.06504,8.46098,0.77934,197.866,170.0767,204.5609,243.2055,258.4517,465.0653,81882.4219,72580.3828,16.0873,1.8791,8.1398,18.4211,1.658,27.8128,29.2964,1.4719,0.4559,10.5875,2.03344,2.5617,0.4228,0.17286,1.03988,0.8207,0.01248,0.68982,3.29936,4.17358,5.5381,7.70068,8.0936,8.2798,8.4446,8.5908
"11",13.4874,0.025,48.7504,35.26302,18.65586,30.0946,26.4287,1.3668,2.299,4.43732,0.38458,8.77298,4.63406,0.42694,182.8415,168.1761,196.5127,256.375,259.1853,464.1414,81872.3672,72584.0625,15.037,1.9031,8.0583,10.2112,0.885,15.1413,15.9959,0.8039,0.2434,5.8596,1.08202,1.2547,0.20402,0.10928,0.58526,0.38754,0.00756,1.03308,3.7653,4.95634,6.15462,7.39234,7.6735,7.8122,7.944,8.0686
"12",3.1234,0,31.1854,28.06198,17.06082,14.1246,11.5525,0.6438,1.9283,4.28254,0.35112,7.8768,4.16646,0.38394,166.7361,165.9226,187.2689,272.1335,260.2877,463.7009,81865.7891,72584.0781,16.1054,2.2535,9.2438,9.9239,0.8137,13.6902,14.483,0.7279,0.2238,5.6819,0.52982,1.0779,0.18926,0.14534,0.22628,0.15818,0.00872,1.89016,4.41252,6.01192,6.94784,7.51088,7.65472,7.7338,7.8184,7.9056
