"","GPP_sd1","NPP_sd1","Reco_sd1","NEE_sd1","Rh_sd1","Ra_sd1","Rleaf_sd1","Rstem_sd1","Rroot_sd1","Rh4_sd1","Rh5_sd1","Rh6_sd1","Rh7_sd1","Rh8_sd1","QC1_sd1","QC2_sd1","QC3_sd1","QC4_sd1","QC5_sd1","QC6_sd1","QC7_sd1","QC8_sd1","simuCH4_sd1","prod_sd1","oxid_sd1","diff_sd1","ebu_sd1","pla_sd1","conc1_sd1","conc2_sd1","conc3_sd1","conc4_sd1","conc5_sd1","conc6_sd1","conc7_sd1","conc8_sd1","conc9_sd1","conc10_sd1"
"1",0,0,0.00313014910616953,0.00312498042318517,0.00312558525822167,0,0,0,0,0.000829451469031772,6.97249103710738e-05,0.0014045082152317,0.000760716121845784,7.55630833087069e-05,0,0,0,0,0,0,0,0,0.00765064346646096,0,0.00195029558419524,0.00210796952326689,0.00807906967996858,0.00182240014392261,0.000571777771200734,0.0290305906268593,0.0626497865240019,0.0720987694560327,0.0155521856971912,0.00140798084508287,0.000114596267867711,0,4.03372555883277e-05,0
"2",0,0,0.00274407869708428,0.00274471965270482,0.0027458394542684,0,0,0,0,0.000751790781240026,6.44582790607874e-05,0.00122012639379439,0.000658537153367016,6.59823259264811e-05,0,0,0,0,0,0,0,0,0.00869555762471905,0,0.00211097333399398,0.00233107551703763,0.00929428717590631,0.00145837914805408,0.00137827983755885,0.0299571577022118,0.0554835318610446,0.106770781268592,0.0213887519472203,0.00183361513107245,0.000183493596072499,0,0,0
"3",0,0,0.0034307069972532,0.00343055310835707,0.0034330233116185,0,0,0,0,0.000962737642109775,7.31966905742416e-05,0.00151180178902479,0.000815237747635842,8.13079452693679e-05,0,0,0,0,0,0,0,0,0.00996625580996893,0,0.00277217982135428,0.00241771464988251,0.0106437793399372,0.00156064242206185,0.000816359262144909,0.0356707966930012,0.0632069613425952,0.104246649960639,0.0250880668517268,0.0024057016108572,0.000218775147423521,4.93561755418398e-05,0,0
"4",0,0,0.00239477617866293,0.00239760755838148,0.00239787563796587,0,0,0,0,0.000685686584515413,5.60113787466394e-05,0.00104815715751681,0.000567409329050394,5.83830211132532e-05,0,0,0,0,0,0,0,0,0.00840074386199637,0,0.00107907142965635,0.00294300842628668,0.00849419706196265,0.00195051235240225,0.00274081545871982,0.0232042248761774,0.0554626299184861,0.07695370881485,0.0217459932079729,0.00252879600966885,0.000258785509408471,5.07672594222547e-05,0,0
"5",0,0,0.00937601010510239,0.00937583578104835,0.00937214800119552,0,0,0,0,0.00273553353615984,0.00019595958848863,0.00406253369216798,0.00218069794493739,0.000201119512022681,0,0,0,0,0,0,0,0,0.0221766568666145,0,0.00633876383010028,0.00531958032834729,0.0242164553032625,0.0061638652572732,0.00139651583340322,0.0253908230617186,0.0540801625156159,0.0378546583309731,0.0105219498486371,0.00188600009350619,0.000250797205879446,4.50446227208386e-05,4.4721359550686e-06,0
"6",0,0,0.0101228075881611,0.010129344302174,0.0101290127237315,0,0,0,0,0.00287221434270863,0.000213827698320721,0.00444850376322907,0.00237649650352416,0.000220028327562276,0,0,0,0,0,0,0,0,0.0243107818959569,0,0.00729768084609507,0.00538998886082705,0.0272859192760934,0.00656972338616638,0.00152320535355486,0.0238376752508026,0.0439803961333694,0.0283758158418287,0.00610341410749222,0.00105513566072099,0.000178613116233328,4.1330090161505e-05,0,0
"7",0,0,0.00619698928451425,0.00619442552422342,0.00619711617914944,0,0,0,0,0.00164810542836498,0.000134730488788679,0.00279045877237425,0.00148603433206373,0.000137363668978031,0,0,0,0,0,0,0,0,0.0400435139764627,0,0.00338214964666925,0.00984402543238421,0.0417296763920302,0.0047143100235343,0.00140388787384344,0.0121788145172711,0.0154505895497508,0.00902710978009929,0.00309461011818406,0.000572499039563007,0.000102118639007946,9.9598391951439e-06,0,0
"8",0,0,0.00531678711351338,0.00531508397632162,0.00531489582920947,0,0,0,0,0.00126822456493096,0.000116691017594206,0.00248302687963091,0.00132680813973966,0.000124449730698537,0,0,0,0,0,0,0,0,0.0397481812714592,0,0.00258776503875286,0.0111652604951182,0.0425482359635181,0.00424522839057881,0.000600352735326181,0.011041468874648,0.00552376778849023,0.00207709380562236,0.000716625889380688,0.000262184747236189,6.14246365225412e-05,0,0,0
"9",0,0,0.0172809903505265,0.0172832666649921,0.0172826984690686,0,0,0,0,0.00389866055308955,0.000364345791400764,0.00820399103960723,0.00441152798453289,0.000403009917977145,0,0,0,0,0,0,0,0,0.0328773264885402,0,0.0152703041140467,0.00892280611118473,0.032845946529318,0.00425064182351603,0.000709539097909992,0.0141169251010486,0.0158650967090395,0.00815900967506201,0.000813675793294355,0.000110490979328492,1.94627232214032e-05,2.007900228257e-05,0,0
"10",0,0,0.0158698023773136,0.0158649455452677,0.015864587315824,0,0,0,0,0.00361344899885617,0.000333176790228701,0.00750139192160517,0.0040478460290567,0.000373712137243423,0,0,0,0,0,0,0,0,0.0240737009476032,0,0.012853939979087,0.00769360885895229,0.0236553943853628,0.00518092501083888,0.00131064328160764,0.030478743166509,0.0319424399427939,0.0190923711002185,0.00296385428529287,0.00017362006754893,2.8646837217419e-05,0,0,0
