 day,simuCH4_d,pro_sum_d,oxi_sum_d,fdifu1_d,ebu_sum_sat_d,pla_sum_d,CH4V1,CH4V2,CH4V3,CH4V4,CH4V5,    CH4V6,CH4V7,CH4V8,CH4V9,CH4V10,ebu_sum_unsat_d,zwt
      1,         0.0088,         0.0288,         0.0049,         0.0044,         0.0000,         0.0044,         0.0093,         1.8079,         3.9281,         5.9438,         7.0135,         7.5763,         7.7223,         7.8064,         7.8866,         7.9612,         0.0000,       -48.8714
      2,         0.0206,         0.0284,         0.0051,         0.0046,         0.0116,         0.0044,         0.0098,         1.8101,         3.9304,         5.9530,         7.0242,         7.5823,         7.7257,         7.8086,         7.8880,         7.9623,         0.0000,       -49.1488
      3,         0.0081,         0.0263,         0.0043,         0.0038,         0.0000,         0.0044,         0.0082,         1.8229,         3.9326,         5.9618,         7.0351,         7.5887,         7.7296,         7.8112,         7.8898,         7.9639,         0.0000,       -49.3359
      4,         0.0110,         0.0277,         0.0049,         0.0044,         0.0022,         0.0044,         0.0094,         1.8240,         3.9350,         5.9701,         7.0455,         7.5950,         7.7335,         7.8139,         7.8918,         7.9656,         0.0000,       -49.4966
      5,         0.0151,         0.0284,         0.0051,         0.0046,         0.0061,         0.0044,         0.0097,         1.8233,         3.9376,         5.9780,         7.0547,         7.6008,         7.7371,         7.8163,         7.8935,         7.9669,         0.0000,       -49.6843
      6,         0.0089,         0.0281,         0.0051,         0.0046,         0.0000,         0.0044,         0.0096,         1.8226,         3.9403,         5.9856,         7.0638,         7.6067,         7.7409,         7.8189,         7.8954,         7.9685,         0.0000,       -49.8526
      7,         0.0089,         0.0283,         0.0051,         0.0045,         0.0000,         0.0044,         0.0096,         1.8222,         3.9430,         5.9927,         7.0723,         7.6124,         7.7445,         7.8214,         7.8972,         7.9699,         0.0000,       -50.0225
      8,         0.0204,         0.0280,         0.0053,         0.0047,         0.0112,         0.0044,         0.0103,         1.8227,         3.9478,         5.9996,         7.0806,         7.6181,         7.7482,         7.8241,         7.8992,         7.9716,         0.0000,       -50.3115
      9,         0.0210,         0.0263,         0.0045,         0.0039,         0.0127,         0.0044,         0.0084,         1.8261,         3.9682,         6.0065,         7.0891,         7.6241,         7.7523,         7.8272,         7.9016,         7.9736,         0.0000,       -50.5533
     10,         0.0088,         0.0280,         0.0051,         0.0044,         0.0000,         0.0044,         0.0094,         1.8256,         3.9884,         6.0133,         7.0969,         7.6298,         7.7561,         7.8301,         7.9038,         7.9755,         0.0000,       -50.7630
