 sdoy, GPP_d, NEE_d, Reco_d, QC1, GL_yr, QC2, GW_yr, QC3, GR_yr, QC678, pheno, LAI,NPP_d,Rh_d, Ra_d
      1,         0.0000,         0.5433,         0.5433,       154.8568,       455.6392,        70.6660,     82134.4922,       180.3327,       273.1444,    155063.5469,       136.0000,       253.9557,         0.0000,         0.4663,         0.0770
      2,         0.0050,         0.4986,         0.5036,       154.4493,       455.6413,        70.6034,     82134.3047,       180.0819,       273.5319,    155063.3594,       136.0000,       253.9871,         0.0000,         0.4629,         0.0407
      3,         0.0006,         0.4764,         0.4769,       154.0430,       455.6437,        70.5410,     82134.1172,       179.8314,       273.9214,    155063.1719,       136.0000,       254.0187,         0.0000,         0.4579,         0.0191
      4,         0.0082,         0.4703,         0.4786,       153.6376,       455.6462,        70.4785,     82133.9297,       179.5814,       274.3082,    155063.0000,       136.0000,       254.0503,         0.0000,         0.4591,         0.0195
      5,         0.0136,         0.4805,         0.4941,       153.2334,       455.6489,        70.4162,     82133.7422,       179.3318,       274.6896,    155062.8125,       136.0000,       254.0817,         0.0000,         0.4644,         0.0297
      6,         0.0032,         0.4725,         0.4757,       152.8302,       455.6520,        70.3539,     82133.5547,       179.0827,       275.0711,    155062.6250,       136.0000,       254.1131,         0.0000,         0.4613,         0.0145
      7,         0.0014,         0.4765,         0.4779,       152.4281,       455.6551,        70.2918,     82133.3672,       178.8341,       275.4489,    155062.4375,       136.0000,       254.1442,         0.0000,         0.4643,         0.0137
      8,         0.0070,         0.4599,         0.4670,       152.0271,       455.6586,        70.2297,     82133.1797,       178.5860,       275.8266,    155062.2500,       136.0000,       254.1754,         0.0000,         0.4617,         0.0052
      9,         0.0130,         0.4460,         0.4590,       151.6271,       455.6622,        70.1677,     82132.9922,       178.3385,       276.2049,    155062.0625,       136.0000,       254.2066,         0.0000,         0.4584,         0.0006
     10,         0.0141,         0.4473,         0.4614,       151.2282,       455.6662,        70.1058,     82132.8047,       178.0914,       276.5789,    155061.8750,       136.0000,       254.2378,         0.0000,         0.4614,         0.0000
     11,         0.0366,         0.4282,         0.4648,       150.8303,       455.6704,        70.0441,     82132.6172,       177.8448,       276.9491,    155061.7031,       136.0000,       254.2685,         0.0000,         0.4648,         0.0000
