 year,LAI,gpp_yr,NPP_yr,Ra_yr,Rh_yr,    ET,rain_yr,transp_yr,evap_yr,runoff_yr,GL_yr,       GW_yr,GR_yr,Pool1,Pool2,Pool3,Pool4,Pool5,      Pool6,Pool7,Pool8,out1_yr,out2_yr,out3_yr,      out4_yr,out5_yr,out6_yr,out7_yr,out8_yr,        simuCH4_yr,Pro_sum_yr,Oxi_sum_yr,Fdifu1_yr,    Ebu_sum_unsat_yr,Ebu_sum_sat_yr,Pla_sum_yr
   2011,         1.1193,       646.9512,       284.1847,       445.3660,       348.3991,         0.0031,       647.3796,        56.4300,       363.7556,       380.7327,       172.0925,        25.5905,        86.5016,       161.6028,        66.0694,       191.3990,       164.8991,       297.3973,       362.4938,     86416.4375,     71149.8594,       155.3853,        20.4099,        92.9559,       162.6512,        24.3479,       269.6826,       383.0822,        17.8853,        13.0541,        31.5019,         3.0940,         6.9692,         0.0000,         0.0000,         6.0849,
   2012,         1.0983,       695.0998,       275.4951,       420.5233,       371.0749,         0.0003,       660.5292,        64.7201,       375.8035,       325.5584,       160.6346,        22.9722,        91.8887,       170.2318,        69.2953,       190.9022,       231.7057,       291.3750,       394.0484,     86114.3281,     71223.1484,       163.6849,        21.2935,        92.0881,       214.2008,        22.6396,       278.9992,       362.6049,        17.0051,        12.2870,        31.6651,         5.0386,         5.8255,         0.8343,         0.8719,         5.5895,
   2013,         1.0871,       582.3522,       258.2424,       326.3645,       370.5546,         0.0000,       586.8200,        49.7038,       293.6380,       348.6438,       152.3409,        21.1803,        84.7211,       160.1282,        69.0622,       184.3318,       266.8677,       288.2878,       424.7534,     85867.2266,     71297.5781,       153.9694,        22.0587,        92.5103,       230.4977,        21.0185,       281.8043,       338.8412,        15.9542,        19.5944,        32.0100,         3.6513,         6.9741,         0.0000,         6.3993,         6.2211,
   2011,         1.0757,       632.9214,       260.2602,       371.7874,       422.8846,         0.0030,       647.3796,        55.0309,       364.1660,       344.9887,       152.5036,        21.5513,        86.2053,       160.3358,        68.8328,       180.2148,       267.7253,       284.5545,       446.6560,     85613.8906,     71379.3594,       154.1692,        21.2088,        87.1705,       256.7183,        23.2731,       331.9297,       379.0231,        17.9179,        24.9455,        37.9677,         4.5450,         8.9554,         0.7054,         8.3990,         7.5911,
   2012,         1.0729,       680.7087,       272.5394,       408.0732,       407.1448,         0.0000,       660.5292,        63.1669,       374.4725,       326.0038,       158.2548,        22.8569,        91.4276,       164.9990,        70.2552,       183.7265,       264.2541,       279.8516,       455.3795,     85351.7969,     71453.7344,       158.6529,        21.5487,        88.4427,       242.2317,        21.7325,       321.0041,       359.1567,        17.0478,        21.2090,        34.6111,         6.1829,         7.0642,         1.5360,         7.0830,         7.0618,
   2013,         1.0726,       575.1058,       256.8857,       319.9463,       385.7062,         0.0000,       586.8200,        48.9838,       293.1187,       350.1550,       151.1039,        21.1564,        84.6256,       157.1979,        69.7094,       179.7411,       275.7369,       277.8021,       461.1133,     85121.2656,     71528.6719,       151.1519,        22.2671,        90.2126,       237.4635,        20.2581,       304.8143,       335.9236,        16.0060,        22.1263,        33.2857,         3.8180,         7.3924,         0.0000,         8.0033,         6.7307,
   2011,         1.0668,       628.3026,       259.3188,       367.8128,       429.3300,         0.0029,       647.3796,        54.5675,       363.8842,       345.3773,       151.6695,        21.5299,        86.1195,       158.6032,        69.2863,       177.3636,       268.7697,       274.9973,       464.9353,     84874.5625,     71606.3828,       152.5034,        21.3514,        85.7888,       257.5012,        22.4953,       344.7914,       375.7886,        17.9764,        25.5163,        38.5376,         4.6773,         9.1756,         0.7572,         8.6467,         7.6940,
   2012,         1.0675,       677.7031,       271.8285,       405.5086,       408.3403,         0.0000,       660.5292,        62.8446,       374.2479,       326.2819,       157.7094,        22.8237,        91.2950,       163.9197,        70.5620,       181.8621,       263.1072,       271.1358,       462.8187,     84629.6328,     71684.3828,       157.6150,        21.6458,        87.5518,       241.1300,        21.0589,       325.9408,       356.1086,        17.1037,        21.7702,        34.7168,         6.2325,         7.1601,         1.6501,         7.5751,         7.0350,
   2013,         1.0695,       573.6400,       256.5358,       318.8630,       384.8252,         0.0000,       586.8200,        48.8380,       292.9855,       350.2971,       150.8532,        21.1365,        84.5462,       156.5899,        69.9112,       178.5168,       274.2540,       269.7748,       463.2115,     84393.3047,     71755.0469,       150.5672,        22.3319,        89.5993,       236.1779,        19.6751,       306.0284,       333.0599,        16.0574,        22.2656,        33.2083,         3.8186,         7.3757,         0.0000,         8.1756,         6.7143,
   2011,         1.0644,       627.1211,       258.9213,       366.9785,       427.3542,         0.0029,       647.3796,        54.4492,       363.8184,       345.4267,       151.3543,        21.5134,        86.0538,       158.1772,        69.4170,       176.5629,       267.5710,       267.6099,       464.3166,     84157.6875,     71833.6562,       152.0937,        21.3925,        85.4012,       256.3592,        21.8934,       344.2406,       372.5887,        18.0341,        26.1559,        38.3645,         4.5928,         9.1231,         0.7426,         9.3606,         7.6722,
   2012,         1.0656,       676.6696,       271.4995,       404.9290,       406.1492,         0.0000,       660.5292,        62.7334,       374.1731,       326.3687,       157.4469,        22.8105,        91.2422,       163.5653,        70.6443,       181.3157,       262.2075,       264.3471,       460.9216,     83901.0234,     71909.3516,       157.2740,        21.6720,        87.2908,       240.3115,        20.5334,       324.5844,       353.0816,        17.1583,        21.6855,        34.5322,         6.1997,         7.0806,         1.5635,         7.6158,         6.9891,
   2013,         1.0671,       572.6185,       256.0680,       318.0677,       382.7713,         0.0000,       586.8200,        48.7374,       292.9189,       350.3645,       150.4421,        21.1252,        84.5008,       156.2321,        69.9610,       178.1445,       273.5234,       263.4828,       460.8167,     83677.4062,     71982.2188,       150.2230,        22.3480,        89.4133,       235.5509,        19.2180,       304.4353,       330.2250,        16.1082,        22.0740,        33.0239,         3.7937,         7.3283,         0.0000,         7.9782,         6.7675,
   2011,         1.0629,       626.3646,       258.7386,       366.3855,       425.0513,         0.0029,       647.3796,        54.3733,       363.7711,       345.4628,       151.2155,        21.5046,        86.0184,       157.8934,        69.4437,       176.3029,       266.9646,       261.7982,       461.7211,     83433.1641,     72063.9922,       151.8206,        21.4012,        85.2762,       255.7808,        21.4195,       342.3161,       369.4213,        18.0910,        26.0214,        38.1494,         4.6201,         9.0858,         0.7560,         9.2609,         7.6748,
   2012,         1.0647,       676.1379,       271.3875,       404.2160,       403.9666,         0.0000,       660.5292,        62.6767,       374.1329,       326.4208,       157.3496,        22.8075,        91.2300,       163.3785,        70.6588,       181.1360,       261.7682,       258.9836,       458.2941,     83193.4219,     72137.8125,       157.0945,        21.6770,        87.2061,       239.9122,        20.1181,       322.7381,       350.0800,        17.2122,        21.4397,        34.3435,         6.1866,         7.0265,         1.5549,         7.4367,         6.9764,
   2013,         1.0674,       572.6959,       256.2480,       318.1880,       380.7747,         0.0000,       586.8200,        48.7445,       292.9102,       350.3760,       150.6156,        21.1265,        84.5060,       156.2220,        69.9703,       178.0309,       273.2288,       258.5031,       458.2438,     82966.8281,     72209.3438,       150.2133,        22.3510,        89.3564,       235.3033,        18.8560,       302.7442,       327.4146,        16.1584,        21.9616,        32.8525,         3.7978,         7.2748,         0.0000,         7.9869,         6.6999,
   2011,         1.0627,       626.2853,       258.6506,       366.2951,       422.8863,         0.0029,       647.3796,        54.3654,       363.7726,       345.4593,       151.1230,        21.5055,        86.0221,       157.8823,        69.4523,       176.2389,       266.8338,       257.1911,       459.2507,     82730.0859,     72286.0078,       151.8102,        21.4039,        85.2451,       255.6589,        21.0437,       340.4949,       366.2787,        18.1471,        25.8034,        37.9610,         4.5592,         9.0438,         0.7359,         9.1490,         7.6106,
