 month,GPP_m,NPP_m,Reco_m,NEE_m,Rh_m,Ra_m,RLEAV_m, RWOOD_m,RROOT_m,Rh4_m,Rh5_m,Rh6_m,Rh7_m,Rh8_m,pheno,NSC_yr,add_yr,store_yr, QC(1),QC(2),QC(3),QC(4),QC(5),QC(6),QC(7),QC(8), wcl(1),wcl(2),wcl(3),zwt,thawd,snowd,  ch4emission,ch4pro,ch4oxi,ch4difu,ch4ebusat,ch4pla, ch4v1,ch4v2,ch4v3,ch4v4,ch4v5,ch4v6,ch4v7,ch4v8,ch4v9,ch4v10,unsatebu
      1,         0.0000,         0.0000,         1.0047,         1.0047,         0.9429,        -0.0618,         0.0472,         0.0018,         0.0129,         0.2468,         0.0190,         0.4259,         0.2301,         0.0211,       136.0000,        14.4646,         0.0000,         0.0727,       143.4662,        68.8880,       173.2539,       283.7015,       254.8439,       455.7938,     82129.0547,     72473.4141,         0.9258,         0.9477,         0.9483,       -54.7832,       150.0000,         0.2120,         0.0170,         0.0526,         0.0089,         0.0075,         0.0004,         0.0091,         0.0086,         1.8771,         4.0819,         6.1040,         7.2075,         7.7293,         7.8318,         7.8921,         7.9559,         8.0215,         0.0000
      2,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000
      3,         0.0000,         0.0000,         0.5916,         0.5916,         0.5897,        -0.0019,         0.0014,         0.0001,         0.0004,         0.1613,         0.0119,         0.2620,         0.1415,         0.0130,       136.0000,        14.4646,         0.0000,         0.0727,       132.2164,        67.0436,       166.0201,       293.4942,       255.7511,       456.1449,     82123.2422,     72473.4141,         0.9529,         0.9448,         0.9466,       -49.0215,       150.0000,         0.4940,         0.0138,         0.0339,         0.0049,         0.0079,         0.0000,         0.0059,         0.0065,         1.9195,         4.1163,         6.1247,         7.2997,         7.8515,         7.9474,         8.0016,         8.0596,         8.1192,         0.0000
      4,         0.0000,         0.0000,         0.5944,         0.5944,         0.5912,        -0.0032,         0.0024,         0.0001,         0.0007,         0.1656,         0.0119,         0.2604,         0.1404,         0.0129,       136.0000,        14.4646,         0.0000,         0.0727,       121.8475,        65.2666,       159.1574,       301.8037,       256.6031,       456.6512,     82117.4297,     72473.4141,         0.8982,         0.9415,         0.9444,       -61.6919,       150.0000,         0.5318,         0.0110,         0.0330,         0.0069,         0.0051,         0.0000,         0.0059,         0.0073,         1.8854,         4.2162,         6.0633,         7.3143,         7.9145,         8.0170,         8.0731,         8.1308,         8.1896,         0.0000
      5,         0.0000,         0.0000,         0.8889,         0.8889,         0.7255,        -0.1634,         0.1260,         0.0060,         0.0315,         0.2099,         0.0147,         0.3154,         0.1698,         0.0156,       136.0000,        14.4646,         0.0000,         0.0727,       112.8276,        63.6134,       152.8907,       306.8686,       257.2952,       457.4873,     82109.6250,     72475.3203,         0.9526,         0.9349,         0.9402,        13.3037,       150.0000,         0.0099,         0.0328,         0.0548,         0.0014,         0.0235,         0.0000,         0.0093,         0.0469,         1.5536,         4.0322,         5.7497,         7.2009,         8.0194,         8.1496,         8.2167,         8.2790,         8.3391,         0.0000
      6,         0.0000,         1.7994,         2.6923,         2.6923,         1.6653,        -1.0270,         0.8790,         0.0516,         0.0965,         0.4857,         0.0344,         0.7221,         0.3874,         0.0356,       129.0000,        14.4646,         0.0000,         0.0727,       151.7262,        64.1889,       155.5644,       297.4847,       256.8724,       459.5983,     82086.6406,     72484.4688,         0.9527,         0.9361,         0.9406,       -48.5160,       150.0000,         0.0000,         0.0596,         0.1260,         0.0203,         0.0213,         0.0068,         0.0315,         0.0256,         1.0890,         3.4511,         4.7547,         6.3417,         8.1491,         8.4304,         8.5724,         8.6814,         8.7662,         0.0000
      7,         0.0000,         1.3024,         4.4009,         4.4009,         2.4864,        -1.9145,         1.5341,         0.1255,         0.2549,         0.6982,         0.0518,         1.0970,         0.5856,         0.0538,       129.0000,        14.4646,         0.0000,         0.0727,       166.4192,        66.8519,       166.4670,       277.8716,       255.4094,       461.6191,     82050.3047,     72500.0156,         0.9525,         0.9315,         0.9378,        10.5536,       150.0000,         0.0000,         0.1276,         0.2378,         0.0197,         0.0647,         0.0188,         0.0441,         0.2504,         1.8266,         3.9012,         4.9007,         6.3364,         8.3995,         8.7677,         8.9570,         9.1101,         9.2335,         0.0000
      8,         0.0000,         1.8754,         6.3233,         6.3233,         3.6864,        -2.6369,         2.0303,         0.1940,         0.4127,         0.9604,         0.0782,         1.6745,         0.8914,         0.0819,       129.0000,        14.4646,         0.0000,         0.0727,       182.8437,        71.1089,       183.5185,       243.8403,       252.4468,       461.2769,     81994.7344,     72516.2969,         0.9525,         0.9324,         0.9383,        29.5619,       150.0000,         0.0000,         0.2442,         0.4378,         0.0296,         0.1388,         0.0346,         0.0708,         0.2873,         2.3619,         5.1109,         5.8742,         6.8185,         9.0892,         9.4530,         9.6344,         9.7908,         9.9236,         0.0000
      9,         0.0000,         1.2788,         5.8285,         5.8285,         3.2045,        -2.6241,         2.1141,         0.1869,         0.3231,         0.7593,         0.0684,         1.5008,         0.8022,         0.0738,       129.0000,        14.4646,         0.0000,         0.0727,       194.2033,        74.5164,       196.9336,       223.5302,       250.1400,       457.8152,     81944.6406,     72530.0547,         0.7908,         0.9351,         0.9401,       -79.5088,       150.0000,         0.0000,         0.2258,         0.3603,         0.0288,         0.0986,         0.0575,         0.0697,         0.0068,         1.7314,         4.6949,         5.4713,         6.4789,         8.9629,         9.3446,         9.5249,         9.6858,         9.8283,         0.0000
     10,         0.0000,         0.0000,         3.7472,         3.7472,         1.6791,        -2.0681,         1.7565,         0.1304,         0.1812,         0.3775,         0.0352,         0.7978,         0.4291,         0.0395,       129.0000,        14.4646,         0.0000,         0.0727,       189.7006,        75.0167,       198.6583,       225.6389,       249.6505,       455.3380,     81918.0156,     72541.0078,         0.6880,         0.7968,         0.9404,      -114.5725,       150.0000,         0.0000,         0.0462,         0.1114,         0.0327,         0.0031,         0.0089,         0.0342,         0.0491,         0.0297,         3.3720,         4.2811,         5.5812,         7.9481,         8.3506,         8.5463,         8.7233,         8.8828,         0.0070
