 sdoy, GPP_d, NEE_d, Reco_d, NPP_d, Ra_d, QC1, QC2, QC3, QC4,QC5,QC6, Rh_d,QC7,QC8
   1362,         2.5636,         1.7276,         4.2912,         2.2047,         2.4003,       194.6275,        99.7118,       197.0240,       219.0701,       252.4262,       452.3636,         1.8909,     81193.6094,     72763.2656
   1363,         2.9842,         1.0182,         4.0024,         1.4562,         1.9828,       194.8426,        99.7927,       197.3325,       218.7824,       252.3769,       452.2448,         2.0196,     81192.3672,     72763.7500
   1364,         4.1303,        -0.2616,         3.8687,         1.1440,         1.8433,       194.9013,        99.8425,       197.5159,       218.4992,       252.3279,       452.1223,         2.0255,     81191.1016,     72764.2266
   1365,         4.1386,        -0.0669,         4.0716,         1.3532,         1.9761,       195.0644,        99.9131,       197.7828,       218.1779,       252.2749,       451.9980,         2.0955,     81189.7734,     72764.6797
   1366,         3.5864,         0.2884,         3.8749,         0.9254,         1.7858,       195.0133,        99.9408,       197.8782,       217.8666,       252.2228,       451.8705,         2.0891,     81188.4531,     72765.1328
   1367,         1.4729,         1.7591,         3.2320,         0.0184,         1.3603,       194.5094,        99.8779,       197.6108,       217.6904,       252.1837,       451.7408,         1.8717,     81187.2500,     72765.6953
   1368,         1.4232,         1.7715,         3.1947,         0.1903,         1.4467,       194.0928,        99.8322,       197.4127,       217.5867,       252.1516,       451.6151,         1.7480,     81186.0469,     72766.2578
   1369,         0.4802,         2.5649,         3.0451,         0.0000,         1.3279,       193.5821,        99.7676,       197.1387,       217.4962,       252.1210,       451.4935,         1.7172,     81184.9219,     72766.8203
   1370,         1.2695,         1.8786,         3.1481,         0.1497,         1.3864,       193.1475,        99.7179,       196.9247,       217.3717,       252.0873,       451.3739,         1.7617,     81183.6797,     72767.3828
   1371,         0.3400,         2.5074,         2.8474,         0.0000,         1.3252,       192.6394,        99.6533,       196.6512,       217.3860,       252.0671,       451.2551,         1.5222,     81182.6484,     72767.8516
   1372,         0.4987,         2.1563,         2.6550,         0.0000,         1.2883,       192.1325,        99.5886,       196.3781,       217.4806,       252.0549,       451.1439,         1.3667,     81181.7109,     72768.2266
   1373,         0.8385,         1.7690,         2.6075,         0.0000,         1.2952,       191.6270,        99.5241,       196.1055,       217.6071,       252.0459,       451.0386,         1.3123,     81180.9062,     72768.6016
   1374,         0.9072,         1.6076,         2.5148,         0.0000,         1.2289,       191.1228,        99.4596,       195.8334,       217.7475,       252.0386,       450.9379,         1.2859,     81180.1250,     72768.9766
   1375,         0.5553,         1.8950,         2.4503,         0.0000,         1.2171,       190.6200,        99.3952,       195.5617,       217.9161,       252.0339,       450.8406,         1.2332,     81179.3750,     72769.3516
