 month,GPP_m,NPP_m,Reco_m,NEE_m,Rh_m,Ra_m,RLEAV_m, RWOOD_m,RROOT_m,Rh4_m,Rh5_m,Rh6_m,Rh7_m,Rh8_m,pheno,NSC_yr,add_yr,store_yr, QC(1),QC(2),QC(3),QC(4),QC(5),QC(6),QC(7),QC(8), wcl(1),wcl(2),wcl(3),zwt,thawd,snowd,  ch4emission,ch4pro,ch4oxi,ch4difu,ch4ebusat,ch4pla, ch4v1,ch4v2,ch4v3,ch4v4,ch4v5,ch4v6,ch4v7,ch4v8,ch4v9,ch4v10,unsatebu
      1,         0.0000,         0.0000,         1.0050,         1.0050,         0.9432,        -0.0618,         0.0468,         0.0024,         0.0126,         0.2465,         0.0196,         0.4259,         0.2301,         0.0211,       136.0000,        14.6696,         0.0000,         0.0737,       144.2252,        94.0701,       171.9073,       283.2925,       262.7616,       455.6295,     82103.6641,     72480.2422,         0.9269,         0.9477,         0.9483,       -54.5588,       150.0000,         0.2120,         0.0171,         0.0526,         0.0089,         0.0076,         0.0004,         0.0091,         0.0087,         1.8952,         4.0632,         5.9842,         7.1819,         7.7272,         7.8322,         7.8928,         7.9566,         8.0222,         0.0000
      2,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000
      3,         0.0000,         0.0000,         0.5918,         0.5918,         0.5899,        -0.0019,         0.0014,         0.0001,         0.0004,         0.1612,         0.0123,         0.2620,         0.1415,         0.0130,       136.0000,        14.6696,         0.0000,         0.0737,       132.9158,        92.2155,       164.7264,       293.0996,       263.6570,       455.9780,     82097.8516,     72480.2422,         0.9529,         0.9448,         0.9466,       -48.7451,       150.0000,         0.4940,         0.0140,         0.0340,         0.0049,         0.0081,         0.0000,         0.0059,         0.0065,         1.9311,         4.0907,         5.9622,         7.2666,         7.8489,         7.9476,         8.0021,         8.0601,         8.1197,         0.0000
      4,         0.0000,         0.0000,         0.5960,         0.5960,         0.5930,        -0.0030,         0.0022,         0.0001,         0.0007,         0.1659,         0.0123,         0.2611,         0.1408,         0.0129,       136.0000,        14.6696,         0.0000,         0.0737,       122.4919,        90.4114,       157.8981,       301.4195,       264.5088,       456.4821,     82092.0391,     72480.2422,         0.9075,         0.9415,         0.9444,       -60.0849,       150.0000,         0.5318,         0.0112,         0.0333,         0.0070,         0.0053,         0.0000,         0.0059,         0.0076,         1.8990,         4.1633,         5.9069,         7.2773,         7.9120,         8.0180,         8.0744,         8.1322,         8.1910,         0.0000
      5,         0.0000,         0.0000,         0.8794,         0.8794,         0.7261,        -0.1533,         0.1141,         0.0075,         0.0318,         0.2098,         0.0152,         0.3156,         0.1699,         0.0156,       136.0000,        14.6696,         0.0000,         0.0737,       113.3794,        88.7143,       151.6461,       306.4946,       265.2061,       457.3225,     82084.2344,     72482.1484,         0.9526,         0.9349,         0.9402,        13.8906,       150.0000,         0.0099,         0.0330,         0.0549,         0.0015,         0.0236,         0.0000,         0.0094,         0.0459,         1.5338,         4.0542,         5.6813,         7.1689,         8.0164,         8.1501,         8.2176,         8.2800,         8.3401,         0.0000
      6,         0.0000,         1.8357,         2.6935,         2.6935,         1.6682,        -1.0252,         0.8703,         0.0577,         0.0973,         0.4859,         0.0355,         0.7231,         0.3880,         0.0356,       129.0000,        14.6696,         0.0000,         0.0737,       153.1089,        89.2167,       154.2359,       297.1227,       264.7592,       459.4427,     82061.1641,     72491.3203,         0.9527,         0.9361,         0.9406,       -46.0176,       150.0000,         0.0000,         0.0656,         0.1281,         0.0202,         0.0228,         0.0108,         0.0320,         0.0288,         1.0944,         3.3936,         4.6697,         6.3088,         8.1481,         8.4332,         8.5756,         8.6848,         8.7695,         0.0000
      7,         0.0000,         1.3663,         4.4314,         4.4314,         2.4949,        -1.9365,         1.5539,         0.1268,         0.2558,         0.6996,         0.0536,         1.1003,         0.5874,         0.0540,       129.0000,        14.6696,         0.0000,         0.0737,       167.8518,        91.8367,       165.1211,       277.4836,       263.2200,       461.4754,     82024.5078,     72507.0078,         0.9525,         0.9315,         0.9378,        11.5970,       150.0000,         0.0000,         0.1282,         0.2410,         0.0193,         0.0658,         0.0183,         0.0441,         0.2464,         1.8212,         3.9154,         4.8963,         6.3301,         8.4033,         8.7738,         8.9632,         9.1163,         9.2397,         0.0000
      8,         0.0000,         1.8774,         6.3512,         6.3512,         3.6865,        -2.6647,         2.0544,         0.1960,         0.4142,         0.9590,         0.0806,         1.6739,         0.8910,         0.0819,       129.0000,        14.6696,         0.0000,         0.0737,       184.1983,        96.0997,       182.2462,       243.5142,       260.1129,       461.1391,     81968.8281,     72523.3125,         0.9525,         0.9323,         0.9382,        30.5983,       150.0000,         0.0000,         0.2454,         0.4424,         0.0274,         0.1439,         0.0301,         0.0715,         0.2902,         2.3683,         5.1164,         5.8716,         6.8183,         9.0939,         9.4588,         9.6402,         9.7966,         9.9293,         0.0000
      9,         0.0000,         1.2795,         5.8624,         5.8624,         3.2132,        -2.6492,         2.1362,         0.1888,         0.3243,         0.7603,         0.0707,         1.5043,         0.8040,         0.0740,       129.0000,        14.6696,         0.0000,         0.0737,       195.4730,        99.5353,       195.7057,       223.2089,       257.6534,       457.6765,     81918.5078,     72537.0312,         0.8103,         0.9351,         0.9401,       -76.9066,       150.0000,         0.0000,         0.2322,         0.3637,         0.0291,         0.1009,         0.0610,         0.0702,         0.0082,         1.7447,         4.6992,         5.4770,         6.4853,         8.9729,         9.3549,         9.5350,         9.6956,         9.8378,         0.0000
     10,         0.0000,         0.0000,         3.7833,         3.7833,         1.6982,        -2.0851,         1.7720,         0.1317,         0.1814,         0.3812,         0.0367,         0.8066,         0.4338,         0.0399,       129.0000,        14.6696,         0.0000,         0.0737,       190.8746,       100.0527,       197.3890,       225.2266,       257.0662,       455.1689,     81891.6562,     72548.1562,         0.6988,         0.8302,         0.9404,      -105.2429,       150.0000,         0.0000,         0.0560,         0.1153,         0.0304,         0.0035,         0.0149,         0.0376,         0.0499,         0.0471,         3.4045,         4.3131,         5.5935,         7.9646,         8.3672,         8.5623,         8.7389,         8.8978,         0.0018
