 day,simuCH4_d,pro_sum_d,oxi_sum_d,fdifu1_d,ebu_sum_sat_d,pla_sum_d,CH4V1,CH4V2,CH4V3,CH4V4,CH4V5,    CH4V6,CH4V7,CH4V8,CH4V9,CH4V10,ebu_sum_unsat_d,zwt
      1,         0.0087,         0.0288,         0.0049,         0.0044,         0.0000,         0.0043,         0.0094,         1.7981,         3.8971,         5.8435,         6.9906,         7.5749,         7.7233,         7.8077,         7.8879,         7.9624,         0.0000,       -48.7376
      2,         0.0187,         0.0284,         0.0051,         0.0047,         0.0097,         0.0043,         0.0098,         1.8012,         3.8998,         5.8522,         7.0012,         7.5809,         7.7267,         7.8098,         7.8892,         7.9635,         0.0000,       -49.0261
      3,         0.0081,         0.0263,         0.0043,         0.0038,         0.0000,         0.0044,         0.0082,         1.8197,         3.9110,         5.8605,         7.0121,         7.5872,         7.7306,         7.8124,         7.8910,         7.9651,         0.0000,       -49.2248
      4,         0.0108,         0.0278,         0.0049,         0.0045,         0.0019,         0.0044,         0.0095,         1.8262,         3.9177,         5.8686,         7.0224,         7.5935,         7.7345,         7.8150,         7.8929,         7.9667,         0.0000,       -49.3921
      5,         0.0109,         0.0285,         0.0053,         0.0048,         0.0017,         0.0044,         0.0103,         1.8251,         3.9232,         5.8763,         7.0316,         7.5993,         7.7380,         7.8174,         7.8946,         7.9680,         0.0000,       -49.5766
      6,         0.0091,         0.0281,         0.0053,         0.0047,         0.0000,         0.0044,         0.0100,         1.8242,         3.9318,         5.8840,         7.0405,         7.6051,         7.7417,         7.8200,         7.8965,         7.9695,         0.0000,       -49.7422
      7,         0.0089,         0.0284,         0.0051,         0.0046,         0.0000,         0.0044,         0.0097,         1.8235,         3.9345,         5.8914,         7.0490,         7.6108,         7.7453,         7.8225,         7.8983,         7.9710,         0.0000,       -49.9088
      8,         0.0286,         0.0281,         0.0051,         0.0045,         0.0197,         0.0044,         0.0096,         1.8229,         3.9358,         5.8984,         7.0573,         7.6165,         7.7490,         7.8251,         7.9002,         7.9726,         0.0000,       -50.1891
      9,         0.0112,         0.0264,         0.0044,         0.0038,         0.0031,         0.0044,         0.0083,         1.8246,         3.9384,         5.9049,         7.0657,         7.6224,         7.7530,         7.8282,         7.9026,         7.9746,         0.0000,       -50.4244
     10,         0.0089,         0.0280,         0.0051,         0.0045,         0.0000,         0.0044,         0.0095,         1.8511,         3.9524,         5.9111,         7.0735,         7.6281,         7.7569,         7.8310,         7.9048,         7.9764,         0.0000,       -50.6293
     11,         0.0090,         0.0282,         0.0052,         0.0045,         0.0001,         0.0045,         0.0096,         1.8750,         3.9649,         5.9172,         7.0805,         7.6334,         7.7604,         7.8337,         7.9067,         7.9780,         0.0000,       -50.7968
     12,         0.0126,         0.0281,         0.0052,         0.0045,         0.0037,         0.0045,         0.0095,         1.8846,         3.9693,         5.9230,         7.0873,         7.6386,         7.7640,         7.8363,         7.9088,         7.9797,         0.0000,       -51.0051
     13,         0.0099,         0.0281,         0.0052,         0.0044,         0.0010,         0.0045,         0.0095,         1.8831,         3.9720,         5.9284,         7.0938,         7.6438,         7.7675,         7.8389,         7.9108,         7.9814,         0.0000,       -51.2465
     14,         0.0100,         0.0280,         0.0053,         0.0045,         0.0009,         0.0045,         0.0098,         1.8811,         3.9835,         5.9336,         7.1003,         7.6490,         7.7711,         7.8417,         7.9130,         7.9833,         0.0000,       -51.3972
     15,         0.0184,         0.0277,         0.0055,         0.0048,         0.0090,         0.0045,         0.0107,         1.8881,         3.9964,         5.9386,         7.1067,         7.6543,         7.7749,         7.8446,         7.9153,         7.9853,         0.0000,       -51.5411
     16,         0.0130,         0.0269,         0.0059,         0.0053,         0.0032,         0.0045,         0.0119,         1.8914,         4.0114,         5.9434,         7.1135,         7.6598,         7.7790,         7.8479,         7.9181,         7.9878,         0.0000,       -51.7672
     17,         0.0095,         0.0278,         0.0057,         0.0049,         0.0002,         0.0045,         0.0105,         1.8879,         4.0230,         5.9483,         7.1194,         7.6650,         7.7828,         7.8509,         7.9205,         7.9899,         0.0000,       -51.9922
     18,         0.0167,         0.0272,         0.0051,         0.0043,         0.0080,         0.0045,         0.0093,         1.8865,         4.0264,         5.9529,         7.1252,         7.6701,         7.7866,         7.8540,         7.9231,         7.9921,         0.0000,       -52.2631
     19,         0.0172,         0.0273,         0.0050,         0.0042,         0.0085,         0.0045,         0.0090,         1.8978,         4.0262,         5.9571,         7.1312,         7.6753,         7.7906,         7.8573,         7.9259,         7.9946,         0.0000,       -52.5201
     20,         0.0085,         0.0263,         0.0049,         0.0040,         0.0000,         0.0045,         0.0088,         1.8973,         4.0263,         5.9610,         7.1368,         7.6805,         7.7945,         7.8605,         7.9287,         7.9971,         0.0000,       -52.7713
     21,         0.0069,         0.0232,         0.0032,         0.0025,         0.0000,         0.0045,         0.0059,         1.8919,         4.0260,         5.9644,         7.1432,         7.6861,         7.7990,         7.8644,         7.9320,         8.0001,         0.0000,       -52.9828
     22,         0.0232,         0.0237,         0.0037,         0.0029,         0.0159,         0.0045,         0.0067,         1.8871,         4.0257,         5.9675,         7.1490,         7.6914,         7.8033,         7.8680,         7.9352,         8.0030,         0.0000,       -53.1781
     23,         0.0070,         0.0236,         0.0033,         0.0025,         0.0000,         0.0045,         0.0060,         1.8823,         4.0253,         5.9702,         7.1546,         7.6967,         7.8076,         7.8718,         7.9385,         8.0059,         0.0000,       -53.4236
     24,         0.0106,         0.0272,         0.0052,         0.0042,         0.0019,         0.0045,         0.0092,         1.8787,         4.0252,         5.9726,         7.1590,         7.7014,         7.8113,         7.8749,         7.9412,         8.0083,         0.0000,       -53.6651
     25,         0.0128,         0.0272,         0.0051,         0.0041,         0.0042,         0.0045,         0.0089,         1.8775,         4.0260,         5.9747,         7.1631,         7.7059,         7.8149,         7.8779,         7.9438,         8.0106,         0.0000,       -53.8013
     26,         0.0153,         0.0273,         0.0054,         0.0043,         0.0066,         0.0045,         0.0094,         1.8856,         4.0322,         5.9767,         7.1670,         7.7102,         7.8183,         7.8809,         7.9463,         8.0128,         0.0000,       -53.9547
     27,         0.0134,         0.0273,         0.0052,         0.0041,         0.0049,         0.0045,         0.0088,         1.8903,         4.0433,         5.9787,         7.1707,         7.7144,         7.8217,         7.8837,         7.9487,         8.0150,         0.0000,       -54.1194
     28,         0.0099,         0.0272,         0.0052,         0.0040,         0.0014,         0.0045,         0.0088,         1.8874,         4.0548,         5.9806,         7.1743,         7.7186,         7.8251,         7.8866,         7.9512,         8.0172,         0.0000,       -54.2974
     29,         0.0132,         0.0271,         0.0051,         0.0040,         0.0047,         0.0045,         0.0087,         1.8884,         4.0618,         5.9825,         7.1780,         7.7229,         7.8285,         7.8896,         7.9538,         8.0196,         0.0000,       -54.4120
     30,         0.0155,         0.0268,         0.0051,         0.0040,         0.0070,         0.0045,         0.0087,         1.8952,         4.0632,         5.9842,         7.1819,         7.7272,         7.8322,         7.8928,         7.9566,         8.0222,         0.0000,       -54.5588
     31,         0.0084,         0.0266,         0.0051,         0.0039,         0.0000,         0.0045,         0.0086,         1.8917,         4.0621,         5.9858,         7.1859,         7.7317,         7.8360,         7.8961,         7.9596,         8.0249,         0.0000,       -54.8691
     32,         0.0286,         0.0245,         0.0040,         0.0030,         0.0211,         0.0045,         0.0069,         1.8906,         4.0609,         5.9870,         7.1899,         7.7362,         7.8399,         7.8996,         7.9628,         8.0278,         0.0000,       -55.2230
     33,         0.0107,         0.0233,         0.0035,         0.0026,         0.0037,         0.0045,         0.0061,         1.9054,         4.0608,         5.9880,         7.1940,         7.7408,         7.8439,         7.9032,         7.9661,         8.0308,         0.0000,       -55.6525
     34,         0.0086,         0.0265,         0.0051,         0.0038,         0.0002,         0.0045,         0.0084,         1.9213,         4.0696,         5.9887,         7.1972,         7.7449,         7.8475,         7.9064,         7.9690,         8.0335,         0.0000,       -56.3193
     35,         0.0115,         0.0266,         0.0052,         0.0038,         0.0031,         0.0046,         0.0084,         1.9256,         4.0740,         5.9893,         7.1999,         7.7487,         7.8508,         7.9094,         7.9717,         8.0359,         0.0000,       -56.6314
     36,         0.0123,         0.0266,         0.0053,         0.0039,         0.0039,         0.0045,         0.0086,         1.9234,         4.0743,         5.9900,         7.2023,         7.7523,         7.8539,         7.9122,         7.9742,         8.0382,         0.0000,       -56.7918
     37,         0.0110,         0.0265,         0.0053,         0.0039,         0.0025,         0.0045,         0.0087,         1.9200,         4.0767,         5.9905,         7.2047,         7.7559,         7.8571,         7.9151,         7.9768,         8.0405,         0.0000,       -57.1672
     38,         0.0094,         0.0256,         0.0050,         0.0036,         0.0012,         0.0045,         0.0081,         1.9199,         4.0771,         5.9907,         7.2077,         7.7598,         7.8606,         7.9182,         7.9797,         8.0432,         0.0000,       -57.6587
     39,         0.0232,         0.0225,         0.0034,         0.0023,         0.0165,         0.0045,         0.0056,         1.9142,         4.0779,         5.9906,         7.2112,         7.7640,         7.8644,         7.9218,         7.9830,         8.0463,         0.0000,       -58.1176
     40,         0.0070,         0.0219,         0.0031,         0.0021,         0.0004,         0.0045,         0.0053,         1.9084,         4.0902,         5.9905,         7.2142,         7.7680,         7.8681,         7.9252,         7.9862,         8.0493,         0.0000,       -58.6776
     41,         0.0137,         0.0214,         0.0033,         0.0022,         0.0070,         0.0045,         0.0059,         1.9031,         4.1005,         5.9904,         7.2174,         7.7722,         7.8721,         7.9290,         7.9897,         8.0525,         0.0000,       -59.0921
     42,         0.0097,         0.0227,         0.0038,         0.0025,         0.0027,         0.0045,         0.0062,         1.8984,         4.1079,         5.9909,         7.2203,         7.7761,         7.8758,         7.9325,         7.9931,         8.0556,         0.0000,       -59.3957
     43,         0.0120,         0.0237,         0.0041,         0.0028,         0.0047,         0.0045,         0.0066,         1.8949,         4.1082,         5.9913,         7.2224,         7.7796,         7.8791,         7.9356,         7.9960,         8.0582,         0.0000,       -59.7072
     44,         0.0142,         0.0273,         0.0045,         0.0042,         0.0054,         0.0045,         0.0091,         1.8943,         4.1066,         5.9916,         7.2242,         7.7829,         7.8822,         7.9385,         7.9986,         8.0606,         0.0000,       -50.5642
     45,         0.0190,         0.0345,         0.0004,         0.0144,         0.0000,         0.0046,         0.0276,         1.8925,         4.1155,         5.9927,         7.2271,         7.7869,         7.8860,         7.9421,         8.0020,         8.0639,         0.0000,        -1.3546
     46,         0.0209,         0.0349,         0.0000,         0.0163,         0.0000,         0.0046,         0.0311,         1.8914,         4.1219,         5.9938,         7.2309,         7.7915,         7.8904,         7.9463,         8.0060,         8.0677,         0.0000,         1.9812
     47,         0.0210,         0.0348,         0.0000,         0.0163,         0.0000,         0.0046,         0.0311,         1.8904,         4.1206,         5.9946,         7.2346,         7.7961,         7.8948,         7.9505,         8.0101,         8.0716,         0.0000,         3.1610
     48,         0.0210,         0.0349,         0.0000,         0.0164,         0.0000,         0.0046,         0.0313,         1.8897,         4.1181,         5.9949,         7.2380,         7.8005,         7.8990,         7.9545,         8.0139,         8.0753,         0.0000,         0.9427
     49,         0.0180,         0.0328,         0.0023,         0.0134,         0.0000,         0.0046,         0.0259,         1.8886,         4.1154,         5.9948,         7.2415,         7.8050,         7.9033,         7.9587,         8.0179,         8.0792,         0.0000,       -11.4716
     50,         0.0125,         0.0285,         0.0031,         0.0079,         0.0000,         0.0045,         0.0159,         1.8866,         4.1126,         5.9940,         7.2451,         7.8095,         7.9077,         7.9629,         8.0220,         8.0832,         0.0000,       -22.0756
     51,         0.0131,         0.0306,         0.0043,         0.0086,         0.0000,         0.0045,         0.0170,         1.8848,         4.1099,         5.9928,         7.2480,         7.8136,         7.9116,         7.9667,         8.0257,         8.0867,         0.0000,       -27.6273
     52,         0.0121,         0.0300,         0.0047,         0.0075,         0.0000,         0.0045,         0.0151,         1.8831,         4.1072,         5.9911,         7.2505,         7.8174,         7.9154,         7.9703,         8.0292,         8.0901,         0.0000,       -32.6919
     53,         0.0150,         0.0280,         0.0044,         0.0061,         0.0043,         0.0045,         0.0127,         1.8815,         4.1050,         5.9890,         7.2526,         7.8211,         7.9191,         7.9739,         8.0326,         8.0934,         0.0000,       -36.3921
